approach,species,n_knots,C,class_weight,mean_log_loss,std_log_loss,mean_auc,mean_brier
single_species,Calyptotis scutirostrum,4,0.5,balanced,0.3178413631893874,0.026143757502389155,0.9479836660798121,0.1012082847164388
single_species,Calyptotis scutirostrum,8,0.1,balanced,0.36405635674184433,0.020526584037720005,0.9478652249722341,0.10918147605549992
single_species,Calyptotis scutirostrum,6,0.1,balanced,0.3721612790534035,0.021582724173985744,0.945179467875148,0.11187187718688692
single_species,Calyptotis scutirostrum,4,0.1,balanced,0.39441953831213994,0.023871869033383456,0.94029525253931,0.11913013834254293
single_species,Coeranoscincus reticulatus,8,0.5,,0.30845872590782225,0.04318042507787853,0.8851182425523969,0.0977130272389948
single_species,Coeranoscincus reticulatus,6,0.5,,0.31057391942472934,0.041310937275001534,0.8806793555805708,0.09902088328078144
single_species,Coeranoscincus reticulatus,4,0.5,,0.32112768732992564,0.0399754244756005,0.8752799326911378,0.10280185587096864
single_species,Coeranoscincus reticulatus,8,0.1,,0.3529056627517958,0.047931811170507904,0.8699697781050997,0.10986579416054927
single_species,Coeranoscincus reticulatus,6,0.1,,0.35504640991951,0.047457732160460016,0.8702993224172216,0.11080338811074217
single_species,Coeranoscincus reticulatus,4,0.1,,0.3718506703517622,0.0489656781128837,0.8663503474016989,0.11598971257148136
single_species,Coeranoscincus reticulatus,8,0.5,balanced,0.42515543052427,0.02312476225619831,0.8843812834924112,0.13751674147893866
single_species,Coeranoscincus reticulatus,6,0.5,balanced,0.43054778196447857,0.019566128251634306,0.8810353620761561,0.1400191975087074
single_species,Coeranoscincus reticulatus,4,0.5,balanced,0.4464193813168351,0.016210249063736585,0.8758699158060695,0.14683657608047979
single_species,Coeranoscincus reticulatus,8,0.1,balanced,0.4877783400908523,0.01632033422013179,0.8754636428406816,0.15675615708447554
single_species,Coeranoscincus reticulatus,6,0.1,balanced,0.49154017329874106,0.014694577069350304,0.8745526366209091,0.1586846914704181
single_species,Coeranoscincus reticulatus,4,0.1,balanced,0.5189105539376788,0.011345087160571822,0.8698705085980706,0.16987811429471633
single_species,Egernia mcpheei,8,0.5,,0.08307451019004251,0.045622902190998536,0.8845394539453946,0.018378262584574614
single_species,Egernia mcpheei,6,0.5,,0.08318676856149562,0.045664938122967735,0.8901212621262126,0.0183537623344562
single_species,Egernia mcpheei,4,0.5,,0.08449297248366322,0.04602995424593234,0.8713442594259426,0.018416360940939715
single_species,Egernia mcpheei,8,0.1,,0.09195069203564221,0.04677812708521421,0.8826705170517052,0.018904745342686678
single_species,Egernia mcpheei,6,0.1,,0.09219397346495875,0.046876807845367706,0.8839205170517052,0.01891469798306157
single_species,Egernia mcpheei,4,0.1,,0.09283475590061244,0.047048612675109125,0.8675813831383138,0.01894172058660504
single_species,Egernia mcpheei,8,0.5,balanced,0.2769525931573918,0.0201327647338491,0.8664450195019502,0.08384349347595337
single_species,Egernia mcpheei,6,0.5,balanced,0.3003674491144811,0.017784177603649542,0.8708387088708871,0.09209404438511563
single_species,Egernia mcpheei,4,0.5,balanced,0.3605444091029074,0.024229662655475596,0.8533862136213621,0.11326581747340363
single_species,Egernia mcpheei,8,0.1,balanced,0.3759825585716513,0.02096813448137558,0.8808515851585158,0.11354249631213327
single_species,Egernia mcpheei,6,0.1,balanced,0.39727320326491206,0.024352824507196995,0.8839455195519552,0.12165904881037473
single_species,Egernia mcpheei,4,0.1,balanced,0.44127320068818615,0.029500066750373328,0.8670250775077508,0.13788082236900612
single_species,Eulamprus murrayi,6,0.1,,0.027313473982410956,0.027456801819852862,0.25980392156862747,0.003881520129977319
single_species,Eulamprus murrayi,4,0.1,,0.027334712358592122,0.027517975682380208,0.1813725490196078,0.0038815046457667812
single_species,Eulamprus murrayi,8,0.1,,0.02739048619643184,0.02751468758526212,0.2745098039215686,0.003881985508883375
single_species,Eulamprus murrayi,4,0.5,,0.027856397712669716,0.02802875539554255,0.1764705882352941,0.003884805336784551
single_species,Eulamprus murrayi,8,0.5,,0.02807972154914043,0.028304713756995975,0.27941176470588236,0.003886897487552797
single_species,Eulamprus murrayi,6,0.5,,0.02816073726678874,0.028411615910919282,0.25,0.0038866625567909132
single_species,Eulamprus murrayi,8,0.5,balanced,0.11039120347907731,0.027095897056860458,0.30882352941176466,0.025910753918905315
single_species,Eulamprus murrayi,6,0.5,balanced,0.13430809654348838,0.03616366768053655,0.23529411764705882,0.03302658395548099
single_species,Eulamprus murrayi,4,0.5,balanced,0.18498689979467148,0.05081242762304015,0.196078431372549,0.0483034562166903
single_species,Eulamprus murrayi,8,0.1,balanced,0.19540222338198196,0.04503280234999285,0.29901960784313725,0.04487446138572832
single_species,Eulamprus murrayi,6,0.1,balanced,0.2306291941174483,0.05601899864858497,0.2696078431372549,0.05652241067802048
single_species,Eulamprus murrayi,4,0.1,balanced,0.3077218910907997,0.07332555667191806,0.1813725490196078,0.08343076968040934
single_species,Ophioscincus truncatus,8,0.5,,0.3839905159235843,0.03556102489592316,0.7854544032142534,0.1178683085120458
single_species,Ophioscincus truncatus,6,0.5,,0.38801619085921096,0.0358399691849772,0.7851933991509977,0.11990316303267372
single_species,Ophioscincus truncatus,4,0.5,,0.3999938136185531,0.033891254492934696,0.7697257735808363,0.12471415002612603
single_species,Ophioscincus truncatus,8,0.1,,0.413717966019368,0.03255120507227111,0.7686521120083404,0.1283765079757859
single_species,Ophioscincus truncatus,6,0.1,,0.4161119488961383,0.03218010451918676,0.7664913582215213,0.12948521849029274
