model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_no_coords,random,False,10,5,0.001,"(8,)",0.001,816,48,0.1764514456113384,0.8905164930555556,0.3599862456837424,0.04909668679302912,0.24691358024691357,0.20833333333333334,0.9700520833333334
MLP_multi_interactions_no_coords,random,False,11,1,0.001,"(16,)",0.01,824,51,0.27351120044180927,0.863785100068488,0.3166830635202083,0.0596962010957241,0.35294117647058826,0.35294117647058826,0.9573091849935317
MLP_multi_interactions_no_coords,random,False,11,2,0.001,"(16,)",0.01,824,51,0.27300493878555565,0.8458006747330238,0.316244945920051,0.05388762515250886,0.3076923076923077,0.23529411764705882,0.9805950840879689
MLP_multi_interactions_no_coords,random,False,11,3,0.001,"(16,)",0.01,824,53,0.27347488274099385,0.867116951765656,0.3190850094627714,0.056233927765581206,0.3488372093023256,0.2830188679245283,0.9766536964980544
MLP_multi_interactions_no_coords,random,False,11,4,0.001,"(16,)",0.01,816,48,0.222007379148051,0.8830159505208333,0.36219646175279185,0.05425966661948506,0.42424242424242425,0.4375,0.9609375
MLP_multi_interactions_no_coords,random,False,11,5,0.001,"(16,)",0.01,816,48,0.28845019712812464,0.8636610243055556,0.2978449145690388,0.05906942113466824,0.1917808219178082,0.14583333333333334,0.9765625
MLP_multi_interactions_no_coords,random,False,12,1,0.001,"(16,)",0.001,824,51,0.2183664679085003,0.8746163407148111,0.3364434781485633,0.053621525761768006,0.3373493975903614,0.27450980392156865,0.9767141009055628
MLP_multi_interactions_no_coords,random,False,12,2,0.001,"(16,)",0.001,824,51,0.24210416888569272,0.8520533698602338,0.29693853119545444,0.055327742439029104,0.25316455696202533,0.19607843137254902,0.9767141009055628
MLP_multi_interactions_no_coords,random,False,12,3,0.001,"(16,)",0.001,824,53,0.20395931038512255,0.887110589041431,0.37170844955287674,0.05138264387816947,0.27848101265822783,0.20754716981132076,0.980544747081712
MLP_multi_interactions_no_coords,random,False,12,4,0.001,"(16,)",0.001,816,48,0.17517978545752055,0.8963216145833335,0.4016319468937492,0.04656182294205297,0.36585365853658536,0.3125,0.9752604166666666
MLP_multi_interactions_no_coords,random,False,12,5,0.001,"(16,)",0.001,816,48,0.19176727586269396,0.8871934678819444,0.35261883378012204,0.049566421531476,0.35443037974683544,0.2916666666666667,0.9778645833333334
