model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_with_coords,spatial,True,5,4,0.0001,"(32,)",0.01,816,45,0.22083890935294845,0.9059662775616083,0.43859491016168817,0.0465918604041954,0.3764705882352941,0.35555555555555557,0.9688715953307393
MLP_multi_interactions_with_coords,spatial,True,5,5,0.0001,"(32,)",0.01,824,55,0.3522401693688306,0.8762856129566141,0.3351376744882235,0.06223608316900923,0.3111111111111111,0.2545454545454545,0.9726918075422627
MLP_multi_interactions_with_coords,spatial,True,6,1,0.0001,"(32,)",0.001,824,48,0.2599283481013837,0.8627577319587629,0.3767909264342552,0.053392568597173416,0.39080459770114945,0.3541666666666667,0.9716494845360825
MLP_multi_interactions_with_coords,spatial,True,6,2,0.0001,"(32,)",0.001,824,49,0.20737884161089487,0.89100724160632,0.41409806930341725,0.04822639778150862,0.46511627906976744,0.40816326530612246,0.9780645161290322
MLP_multi_interactions_with_coords,spatial,True,6,3,0.0001,"(32,)",0.001,816,53,0.19956614878708243,0.9158732906352778,0.5359235142120172,0.04418320180528786,0.4883720930232558,0.39622641509433965,0.9842726081258192
MLP_multi_interactions_with_coords,spatial,True,6,4,0.0001,"(32,)",0.001,816,45,0.19639425821962994,0.9056924628909064,0.4414217980008878,0.04791942926378475,0.4090909090909091,0.4,0.9675745784695201
MLP_multi_interactions_with_coords,spatial,True,6,5,0.0001,"(32,)",0.001,824,55,0.27868472078360235,0.8876935808015132,0.39159350217281835,0.0558886575595302,0.38636363636363635,0.3090909090909091,0.9791937581274383
MLP_multi_interactions_with_coords,spatial,True,7,1,0.0001,"(16, 8)",0.01,824,48,0.3678463838533324,0.8318030498281785,0.4141302503342561,0.051288704876962535,0.43373493975903615,0.375,0.9780927835051546
MLP_multi_interactions_with_coords,spatial,True,7,2,0.0001,"(16, 8)",0.01,824,49,0.37368644374444193,0.8357208689927584,0.33343438489219923,0.05587924313200667,0.41304347826086957,0.3877551020408163,0.9690322580645161
MLP_multi_interactions_with_coords,spatial,True,7,3,0.0001,"(16, 8)",0.01,816,53,0.3518732422372528,0.8889314770394916,0.4229222317019372,0.055187296474961636,0.44,0.41509433962264153,0.9672346002621232
MLP_multi_interactions_with_coords,spatial,True,7,4,0.0001,"(16, 8)",0.01,816,45,0.3212349471873784,0.8837008214440121,0.44667502599861986,0.05657091785857494,0.4329896907216495,0.4666666666666667,0.959792477302205
MLP_multi_interactions_with_coords,spatial,True,7,5,0.0001,"(16, 8)",0.01,824,55,0.5230844528035822,0.7721007211254286,0.31146487202095263,0.06261919486008316,0.3595505617977528,0.2909090909090909,0.976592977893368
MLP_multi_interactions_with_coords,spatial,True,8,1,0.0001,"(16, 8)",0.001,824,48,0.3250716144656414,0.8484213917525772,0.3877194933283069,0.05641372527584937,0.3333333333333333,0.3125,0.9652061855670103
MLP_multi_interactions_with_coords,spatial,True,8,2,0.0001,"(16, 8)",0.001,824,49,0.35258589828784814,0.847412771560237,0.32592546304654985,0.059227619930062265,0.3655913978494624,0.3469387755102041,0.9651612903225807
MLP_multi_interactions_with_coords,spatial,True,8,3,0.0001,"(16, 8)",0.001,816,53,0.32087869222773535,0.877432676376765,0.4819522137638923,0.046032964084675235,0.5168539325842697,0.4339622641509434,0.9829619921363041
MLP_multi_interactions_with_coords,spatial,True,8,4,0.0001,"(16, 8)",0.001,816,45,0.26937064900314767,0.887101887880098,0.4261771707534006,0.055985863636675716,0.4444444444444444,0.4888888888888889,0.9584954604409858
MLP_multi_interactions_with_coords,spatial,True,8,5,0.0001,"(16, 8)",0.001,824,55,0.35663940982828446,0.8710249438467904,0.3888200687533523,0.05792698000652433,0.3333333333333333,0.2545454545454545,0.9804941482444733
MLP_multi_interactions_with_coords,spatial,True,9,1,0.001,"(8,)",0.01,824,48,0.26225627530411094,0.8687714776632302,0.3823876613222461,0.050814399209312036,0.41379310344827586,0.375,0.9729381443298969
MLP_multi_interactions_with_coords,spatial,True,9,2,0.001,"(8,)",0.01,824,49,0.22751691142232786,0.8826728110599079,0.4053548516477811,0.0478910670798762,0.4146341463414634,0.3469387755102041,0.9793548387096774
MLP_multi_interactions_with_coords,spatial,True,9,3,0.001,"(8,)",0.01,816,53,0.2268375270916576,0.9037686391849453,0.5053157955420592,0.04544569050176859,0.4772727272727273,0.39622641509433965,0.981651376146789
MLP_multi_interactions_with_coords,spatial,True,9,4,0.001,"(8,)",0.01,816,45,0.21475471647228245,0.8884277273382332,0.394054236648923,0.048570268969216866,0.3595505617977528,0.35555555555555557,0.9636835278858625
MLP_multi_interactions_with_coords,spatial,True,9,5,0.001,"(8,)",0.01,824,55,0.32176051091660646,0.8652086535051424,0.38594248193639885,0.058683953740335755,0.375,0.32727272727272727,0.9700910273081924
MLP_multi_interactions_with_coords,spatial,True,10,1,0.001,"(8,)",0.001,824,48,0.18501679384287795,0.8845038659793815,0.43591875875937214,0.04311129405635242,0.36619718309859156,0.2708333333333333,0.9871134020618557
MLP_multi_interactions_with_coords,spatial,True,10,2,0.001,"(8,)",0.001,824,49,0.17581376126840326,0.8996445029624753,0.38023236835150187,0.0464102576327799,0.3333333333333333,0.2653061224489796,0.9793548387096774
MLP_multi_interactions_with_coords,spatial,True,10,3,0.001,"(8,)",0.001,816,53,0.1675918573047144,0.917480649867702,0.5470657048768319,0.0418328605654354,0.43037974683544306,0.32075471698113206,0.9882044560943644
MLP_multi_interactions_with_coords,spatial,True,10,4,0.001,"(8,)",0.001,816,45,0.16919951372037667,0.9046260268050152,0.4211306221203398,0.044070346922592395,0.3855421686746988,0.35555555555555557,0.9714656290531777
MLP_multi_interactions_with_coords,spatial,True,10,5,0.001,"(8,)",0.001,824,55,0.20514607266821944,0.8973282893959096,0.42907217787159074,0.05123407096102869,0.3617021276595745,0.3090909090909091,0.9713914174252276
MLP_multi_interactions_with_coords,spatial,True,11,1,0.001,"(16,)",0.01,824,48,0.25027614104276036,0.8610260953608249,0.37497011055066065,0.0494228024025616,0.3291139240506329,0.2708333333333333,0.9768041237113402
MLP_multi_interactions_with_coords,spatial,True,11,2,0.001,"(16,)",0.01,824,49,0.21996934200672472,0.8939302172481896,0.37449446498454725,0.05245562046207168,0.38202247191011235,0.3469387755102041,0.9703225806451613
MLP_multi_interactions_with_coords,spatial,True,11,3,0.001,"(16,)",0.01,816,53,0.24411149650421574,0.9090481960483692,0.44483090259801894,0.050873982706221545,0.4186046511627907,0.33962264150943394,0.9803407601572739
MLP_multi_interactions_with_coords,spatial,True,11,4,0.001,"(16,)",0.01,816,45,0.23037272341409826,0.8940769563337656,0.4236063857525129,0.05141026418340708,0.4536082474226804,0.4888888888888889,0.9610894941634242
MLP_multi_interactions_with_coords,spatial,True,11,5,0.001,"(16,)",0.01,824,55,0.29978228524642053,0.8876699373448398,0.3512823075150911,0.06283707708185782,0.2727272727272727,0.21818181818181817,0.9726918075422627
MLP_multi_interactions_with_coords,spatial,True,12,1,0.001,"(16,)",0.001,824,48,0.21408018055921774,0.874449634879725,0.4200071644685323,0.047551245055247576,0.41975308641975306,0.3541666666666667,0.979381443298969
MLP_multi_interactions_with_coords,spatial,True,12,2,0.001,"(16,)",0.001,824,49,0.1809636592174443,0.9004476629361422,0.39413285476963117,0.046650173721138964,0.40476190476190477,0.3469387755102041,0.9767741935483871
MLP_multi_interactions_with_coords,spatial,True,12,3,0.001,"(16,)",0.001,816,53,0.1662549064862516,0.9195702168698534,0.5671459027308384,0.04178759778231969,0.5393258426966292,0.4528301886792453,0.9842726081258192
MLP_multi_interactions_with_coords,spatial,True,12,4,0.001,"(16,)",0.001,816,45,0.16474005477552328,0.9119757890185906,0.451450316315244,0.044411877847365666,0.43373493975903615,0.4,0.9740596627756161
MLP_multi_interactions_with_coords,spatial,True,12,5,0.001,"(16,)",0.001,824,55,0.20326421317852977,0.8946211136068093,0.4732146328680158,0.04653302294647756,0.4883720930232558,0.38181818181818183,0.9869960988296489
MLP_multi_interactions_with_coords,spatial,True,13,1,0.001,"(32,)",0.01,824,48,0.30750955336689917,0.8593481529209622,0.39941660451150957,0.05669274372786734,0.40860215053763443,0.3958333333333333,0.9664948453608248
MLP_multi_interactions_with_coords,spatial,True,13,2,0.001,"(32,)",0.01,824,49,0.28218173637600963,0.8838183015141542,0.4022098610884508,0.05363885040374338,0.43956043956043955,0.40816326530612246,0.9716129032258064
MLP_multi_interactions_with_coords,spatial,True,13,3,0.001,"(32,)",0.01,816,53,0.26549969057699796,0.9071317292712481,0.4874548137104978,0.04900495907957614,0.47191011235955055,0.39622641509433965,0.9803407601572739
MLP_multi_interactions_with_coords,spatial,True,13,4,0.001,"(32,)",0.01,816,45,0.2327097983229019,0.9015708315319209,0.39629390240662465,0.048438235025111076,0.4090909090909091,0.4,0.9675745784695201
MLP_multi_interactions_with_coords,spatial,True,13,5,0.001,"(32,)",0.01,824,55,0.3346796495932274,0.8799739921976593,0.36945013419631245,0.06024407843680364,0.3076923076923077,0.2545454545454545,0.9713914174252276
MLP_multi_interactions_with_coords,spatial,True,14,1,0.001,"(32,)",0.001,824,48,0.25756187104915756,0.8610663659793814,0.38024606999737226,0.05278900875269791,0.37209302325581395,0.3333333333333333,0.9716494845360825
MLP_multi_interactions_with_coords,spatial,True,14,2,0.001,"(32,)",0.001,824,49,0.2050433492116816,0.8907570770243581,0.43026562450097905,0.047370767842247544,0.46511627906976744,0.40816326530612246,0.9780645161290322
MLP_multi_interactions_with_coords,spatial,True,14,3,0.001,"(32,)",0.001,816,53,0.19512238582800992,0.9178763075249141,0.5436089974254062,0.0437716824044487,0.47619047619047616,0.37735849056603776,0.9855832241153342
MLP_multi_interactions_with_coords,spatial,True,14,4,0.001,"(32,)",0.001,816,45,0.19566418722399867,0.9044530912235194,0.43934025209414845,0.047704272827793076,0.4090909090909091,0.4,0.9675745784695201
MLP_multi_interactions_with_coords,spatial,True,14,5,0.001,"(32,)",0.001,824,55,0.27527645697655784,0.887622650431493,0.39623745981998104,0.05554548564123037,0.38636363636363635,0.3090909090909091,0.9791937581274383
MLP_multi_interactions_with_coords,spatial,True,15,1,0.001,"(16, 8)",0.01,824,48,0.3847656632775979,0.8225408075601374,0.3661345621206715,0.059158032639231126,0.3838383838383838,0.3958333333333333,0.9587628865979382
MLP_multi_interactions_with_coords,spatial,True,15,2,0.001,"(16, 8)",0.01,824,49,0.34221454992690437,0.8652271231073072,0.32741700799620704,0.057413236745980784,0.3829787234042553,0.3673469387755102,0.9651612903225807
MLP_multi_interactions_with_coords,spatial,True,15,3,0.001,"(16, 8)",0.01,816,53,0.32344738835579395,0.8976483097999456,0.5073781965517796,0.048898286115380336,0.4946236559139785,0.4339622641509434,0.9777195281782438
MLP_multi_interactions_with_coords,spatial,True,15,4,0.001,"(16, 8)",0.01,816,45,0.37484996053046316,0.8765095835134745,0.35180518421207785,0.061281430227170856,0.44,0.4888888888888889,0.9571984435797666
MLP_multi_interactions_with_coords,spatial,True,15,5,0.001,"(16, 8)",0.01,824,55,0.3712873746087521,0.8504787799976357,0.37912197895283517,0.057366752270585186,0.3541666666666667,0.3090909090909091,0.9687906371911573
MLP_multi_interactions_with_coords,spatial,True,16,1,0.001,"(16, 8)",0.001,824,48,0.3300321293641678,0.8498845575601374,0.400999744653341,0.05655372022741779,0.3488372093023256,0.3125,0.970360824742268
MLP_multi_interactions_with_coords,spatial,True,16,2,0.001,"(16, 8)",0.001,824,49,0.346814195864193,0.8631468071099409,0.34346108177257956,0.05806717703225165,0.3829787234042553,0.3673469387755102,0.9651612903225807
MLP_multi_interactions_with_coords,spatial,True,16,3,0.001,"(16, 8)",0.001,816,53,0.35701458252074625,0.8816612675882193,0.44547314062056603,0.050224401027529085,0.4,0.32075471698113206,0.9803407601572739
MLP_multi_interactions_with_coords,spatial,True,16,4,0.001,"(16, 8)",0.001,816,45,0.24260081814761109,0.8903588413316039,0.41509088540552336,0.05446889376155436,0.3958333333333333,0.4222222222222222,0.9584954604409858
MLP_multi_interactions_with_coords,spatial,True,16,5,0.001,"(16, 8)",0.001,824,55,0.3713589197116688,0.8597351932852583,0.3622226025522683,0.0568785447373272,0.3953488372093023,0.3090909090909091,0.9817945383615084
MLP_multi_interactions_with_coords,spatial,True,17,1,0.01,"(8,)",0.01,824,48,0.20417836025755065,0.8812285223367697,0.41218789915878595,0.04690440145683994,0.379746835443038,0.3125,0.979381443298969
MLP_multi_interactions_with_coords,spatial,True,17,2,0.01,"(8,)",0.01,824,49,0.20970389880754192,0.882975641869651,0.4455912332920297,0.04578572351789453,0.4470588235294118,0.3877551020408163,0.9780645161290322
MLP_multi_interactions_with_coords,spatial,True,17,3,0.01,"(8,)",0.01,816,53,0.2025990846309265,0.9017408936917333,0.5159287898998742,0.042960448568035194,0.4878048780487805,0.37735849056603776,0.9882044560943644
MLP_multi_interactions_with_coords,spatial,True,17,4,0.01,"(8,)",0.01,816,45,0.21423222323640442,0.8897391554979104,0.365947947258337,0.049570388466827923,0.35294117647058826,0.3333333333333333,0.9675745784695201
