model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_trunk_no_coords,spatial,False,9,4,0.001,"(8,)",0.01,816,53,0.1726370492874795,0.8746754370780682,0.4511326392747463,0.04575526233044376,0.34285714285714286,0.22641509433962265,0.9934469200524246
MLP_multi_trunk_no_coords,spatial,False,9,5,0.001,"(8,)",0.01,816,42,0.1490800602634228,0.8855666297526762,0.3398404384344793,0.03958894624941211,0.0784313725490196,0.047619047619047616,0.9909560723514211
MLP_multi_trunk_no_coords,spatial,False,10,1,0.001,"(8,)",0.001,824,49,0.16828990406313726,0.8658591178406847,0.35321335583936175,0.046173989709804464,0.14545454545454545,0.08163265306122448,0.9974193548387097
MLP_multi_trunk_no_coords,spatial,False,10,2,0.001,"(8,)",0.001,824,58,0.1849643466513845,0.8798955613577024,0.40067832294143185,0.05327218997714293,0.06557377049180328,0.034482758620689655,0.9986945169712794
MLP_multi_trunk_no_coords,spatial,False,10,3,0.001,"(8,)",0.001,824,48,0.1983927486048358,0.7807399054982818,0.24202544812766622,0.04986620112861162,0.0784313725490196,0.041666666666666664,0.9987113402061856
MLP_multi_trunk_no_coords,spatial,False,10,4,0.001,"(8,)",0.001,816,53,0.18913713102560167,0.8289522490664952,0.3759677730194013,0.049246661281871856,0.07142857142857142,0.03773584905660377,0.9986893840104849
MLP_multi_trunk_no_coords,spatial,False,10,5,0.001,"(8,)",0.001,816,42,0.15436570905825261,0.8665866863541282,0.3651513392307811,0.04051425224746966,0.044444444444444446,0.023809523809523808,0.9974160206718347
MLP_multi_trunk_no_coords,spatial,False,11,1,0.001,"(16,)",0.01,824,49,0.16880628428280914,0.8845029624753128,0.33291017552894936,0.04825575886819762,0.2608695652173913,0.1836734693877551,0.9858064516129033
MLP_multi_trunk_no_coords,spatial,False,11,2,0.001,"(16,)",0.01,824,58,0.18037442875539605,0.8887863509498514,0.45852366056068633,0.05009718887527586,0.35443037974683544,0.2413793103448276,0.9908616187989556
MLP_multi_trunk_no_coords,spatial,False,11,3,0.001,"(16,)",0.01,824,48,0.1917256297518926,0.8337628865979381,0.33736097966987844,0.04700670711341651,0.2727272727272727,0.1875,0.9884020618556701
MLP_multi_trunk_no_coords,spatial,False,11,4,0.001,"(16,)",0.01,816,53,0.17493001101733058,0.885531294047825,0.47604767188301766,0.04493690057255776,0.3561643835616438,0.24528301886792453,0.9908256880733946
MLP_multi_trunk_no_coords,spatial,False,11,5,0.001,"(16,)",0.01,816,42,0.14987270961333596,0.8913498215823797,0.35407321469640574,0.04005011306628413,0.2711864406779661,0.19047619047619047,0.9883720930232558
MLP_multi_trunk_no_coords,spatial,False,12,1,0.001,"(16,)",0.001,824,49,0.17339257154268484,0.8586175115207373,0.28609927358828796,0.04833023410233483,0.10526315789473684,0.061224489795918366,0.9935483870967742
MLP_multi_trunk_no_coords,spatial,False,12,2,0.001,"(16,)",0.001,824,58,0.19018121215649936,0.8583100747276493,0.3697132947137764,0.05352865307203978,0.09523809523809523,0.05172413793103448,0.9973890339425587
MLP_multi_trunk_no_coords,spatial,False,12,3,0.001,"(16,)",0.001,824,48,0.18538125795638616,0.8175740979381444,0.2685548424343782,0.048339130566107814,0.04081632653061224,0.020833333333333332,1.0
MLP_multi_trunk_no_coords,spatial,False,12,4,0.001,"(16,)",0.001,816,53,0.17996103391032287,0.8528153515170999,0.4309916819050434,0.0479529755254026,0.10526315789473684,0.05660377358490566,0.9986893840104849
MLP_multi_trunk_no_coords,spatial,False,12,5,0.001,"(16,)",0.001,816,42,0.15232177316818324,0.8647102251753415,0.29410031114940427,0.041461029600232825,0.08695652173913043,0.047619047619047616,0.9974160206718347
MLP_multi_trunk_no_coords,spatial,False,13,1,0.001,"(32,)",0.01,824,49,0.17759109722194433,0.8862409479921001,0.35860595768988157,0.04881107358459874,0.3170731707317073,0.2653061224489796,0.9741935483870968
MLP_multi_trunk_no_coords,spatial,False,13,2,0.001,"(32,)",0.01,824,58,0.199355029926336,0.8713423966867742,0.40608184814588943,0.05349795409726822,0.2535211267605634,0.15517241379310345,0.9947780678851175
MLP_multi_trunk_no_coords,spatial,False,13,3,0.001,"(32,)",0.01,824,48,0.20708987710618734,0.8337360395189003,0.3503906331022083,0.04814281841263946,0.3783783783783784,0.2916666666666667,0.9845360824742269
MLP_multi_trunk_no_coords,spatial,False,13,4,0.001,"(32,)",0.01,816,53,0.1810932050778441,0.8862731521550978,0.4614581974630403,0.04736438866949095,0.3953488372093023,0.32075471698113206,0.9790301441677588
MLP_multi_trunk_no_coords,spatial,False,13,5,0.001,"(32,)",0.01,816,42,0.16363672827397,0.8770764119601329,0.36917304978541576,0.0396413413445754,0.3333333333333333,0.23809523809523808,0.9896640826873385
MLP_multi_trunk_no_coords,spatial,False,14,1,0.001,"(32,)",0.001,824,49,0.16199738597304858,0.8783673469387756,0.37091106553195674,0.04499144380944785,0.2222222222222222,0.14285714285714285,0.9909677419354839
MLP_multi_trunk_no_coords,spatial,False,14,2,0.001,"(32,)",0.001,824,58,0.18393057865290469,0.8744485459620059,0.40233006272540606,0.052044168780483596,0.2318840579710145,0.13793103448275862,0.9960835509138382
MLP_multi_trunk_no_coords,spatial,False,14,3,0.001,"(32,)",0.001,824,48,0.18623000583930277,0.8171176975945018,0.3473676115485428,0.04662309487636741,0.21428571428571427,0.125,0.9974226804123711
MLP_multi_trunk_no_coords,spatial,False,14,4,0.001,"(32,)",0.001,816,53,0.17155518798372793,0.876727911174856,0.44865220260875566,0.046802627623095706,0.2222222222222222,0.1320754716981132,0.9960681520314548
MLP_multi_trunk_no_coords,spatial,False,14,5,0.001,"(32,)",0.001,816,42,0.14964742094700342,0.8784606866002216,0.2885478394708732,0.04209676840188339,0.11764705882352941,0.07142857142857142,0.9922480620155039
MLP_multi_trunk_no_coords,spatial,False,15,1,0.001,"(16, 8)",0.01,824,49,0.1946581862606435,0.8509282422646478,0.38432342988852275,0.04942521610592069,0.2564102564102564,0.20408163265306123,0.9754838709677419
MLP_multi_trunk_no_coords,spatial,False,15,2,0.001,"(16, 8)",0.01,824,58,0.17435163545209506,0.8973395156207797,0.4390316287104592,0.05029868177267367,0.2465753424657534,0.15517241379310345,0.9921671018276762
MLP_multi_trunk_no_coords,spatial,False,15,3,0.001,"(16, 8)",0.01,824,48,0.2654356052316636,0.7886597938144331,0.2985918709396709,0.053827115996883695,0.30952380952380953,0.2708333333333333,0.970360824742268
MLP_multi_trunk_no_coords,spatial,False,15,4,0.001,"(16, 8)",0.01,816,53,0.207904318624212,0.8503548554613122,0.40002709282688437,0.049779045216395465,0.36585365853658536,0.2830188679245283,0.981651376146789
MLP_multi_trunk_no_coords,spatial,False,15,5,0.001,"(16, 8)",0.01,816,42,0.16994222375824442,0.8692937123169681,0.2968302717231135,0.04392911733991517,0.23333333333333334,0.16666666666666666,0.9857881136950905
MLP_multi_trunk_no_coords,spatial,False,16,1,0.001,"(16, 8)",0.001,824,49,0.16832649595605545,0.8658327847267939,0.32598899231363676,0.04707147515292697,0.14545454545454545,0.08163265306122448,0.9974193548387097
MLP_multi_trunk_no_coords,spatial,False,16,2,0.001,"(16, 8)",0.001,824,58,0.18293921525079757,0.8845998019267128,0.40597063628681773,0.05317273104892591,0.06557377049180328,0.034482758620689655,0.9986945169712794
MLP_multi_trunk_no_coords,spatial,False,16,3,0.001,"(16, 8)",0.001,824,48,0.18251906036341428,0.8272390463917526,0.3364768083932731,0.046794397279908174,0.21818181818181817,0.125,0.9987113402061856
MLP_multi_trunk_no_coords,spatial,False,16,4,0.001,"(16, 8)",0.001,816,53,0.18057733625147368,0.8577363436286753,0.41149994969302833,0.04825257901936537,0.16129032258064516,0.09433962264150944,0.9947575360419397
MLP_multi_trunk_no_coords,spatial,False,16,5,0.001,"(16, 8)",0.001,816,42,0.154794304506559,0.8689553340716132,0.3115419438233546,0.04103191085307579,0.12244897959183673,0.07142857142857142,0.9948320413436692
MLP_multi_trunk_no_coords,spatial,False,17,1,0.01,"(8,)",0.01,824,49,0.16440481053294687,0.8901382488479263,0.3145315389628018,0.048609653744170214,0.2191780821917808,0.16326530612244897,0.9793548387096774
MLP_multi_trunk_no_coords,spatial,False,17,2,0.01,"(8,)",0.01,824,58,0.17752460827006575,0.8876384262177006,0.4510429777494881,0.05013436462076058,0.2777777777777778,0.1724137931034483,0.9947780678851175
MLP_multi_trunk_no_coords,spatial,False,17,3,0.01,"(8,)",0.01,824,48,0.1936813300242766,0.833789733676976,0.2897822085854249,0.05023994276355148,0.2153846153846154,0.14583333333333334,0.9871134020618557
MLP_multi_trunk_no_coords,spatial,False,17,4,0.01,"(8,)",0.01,816,53,0.1716763650987074,0.8756398526175226,0.45649158086585845,0.045666866613974226,0.34285714285714286,0.22641509433962265,0.9934469200524246
MLP_multi_trunk_no_coords,spatial,False,17,5,0.01,"(8,)",0.01,816,42,0.14803590759346302,0.8858127230220253,0.3447695445053141,0.039455829024837796,0.0784313725490196,0.047619047619047616,0.9909560723514211
MLP_multi_trunk_no_coords,spatial,False,18,1,0.01,"(8,)",0.001,824,49,0.16835814109924205,0.866096115865701,0.35393432914257367,0.04618899090047172,0.14545454545454545,0.08163265306122448,0.9974193548387097
MLP_multi_trunk_no_coords,spatial,False,18,2,0.01,"(8,)",0.001,824,58,0.18505213179319757,0.8799630863419465,0.4004057656856434,0.05329108523486234,0.06557377049180328,0.034482758620689655,0.9986945169712794
MLP_multi_trunk_no_coords,spatial,False,18,3,0.01,"(8,)",0.001,824,48,0.19819107974608371,0.780981529209622,0.24211659677190558,0.04985808509538523,0.0784313725490196,0.041666666666666664,0.9987113402061856
MLP_multi_trunk_no_coords,spatial,False,18,4,0.01,"(8,)",0.001,816,53,0.18903391418786822,0.8289769776700711,0.37527794646789886,0.04924915076100816,0.07142857142857142,0.03773584905660377,0.9986893840104849
MLP_multi_trunk_no_coords,spatial,False,18,5,0.01,"(8,)",0.001,816,42,0.1544354056579226,0.8665866863541282,0.36501439590780577,0.04053367198044468,0.044444444444444446,0.023809523809523808,0.9974160206718347
MLP_multi_trunk_no_coords,spatial,False,19,1,0.01,"(16,)",0.01,824,49,0.1677341166785487,0.886425279789335,0.33356255058783935,0.04835444793193481,0.2608695652173913,0.1836734693877551,0.9858064516129033
MLP_multi_trunk_no_coords,spatial,False,19,2,0.01,"(16,)",0.01,824,58,0.17922627120394605,0.88876384262177,0.44718403224798114,0.05031175482927544,0.35443037974683544,0.2413793103448276,0.9908616187989556
MLP_multi_trunk_no_coords,spatial,False,19,3,0.01,"(16,)",0.01,824,48,0.18828853415157837,0.8358569587628865,0.34441506808916733,0.04666205222477738,0.2727272727272727,0.1875,0.9884020618556701
MLP_multi_trunk_no_coords,spatial,False,19,4,0.01,"(16,)",0.01,816,53,0.17232634982109435,0.8863226093622493,0.4927355981199115,0.0442594680997435,0.3835616438356164,0.2641509433962264,0.9921363040629095
MLP_multi_trunk_no_coords,spatial,False,19,5,0.01,"(16,)",0.01,816,42,0.15014175354117823,0.8909806816783561,0.35171791279242415,0.04011628245381687,0.18181818181818182,0.11904761904761904,0.9896640826873385
MLP_multi_trunk_no_coords,spatial,False,20,1,0.01,"(16,)",0.001,824,49,0.17329090620704318,0.8587228439763002,0.28551463397275906,0.048311055271316475,0.10526315789473684,0.061224489795918366,0.9935483870967742
MLP_multi_trunk_no_coords,spatial,False,20,2,0.01,"(16,)",0.001,824,58,0.1901317465127749,0.8584226163680562,0.36954977289145496,0.05352610220870403,0.09523809523809523,0.05172413793103448,0.9973890339425587
MLP_multi_trunk_no_coords,spatial,False,20,3,0.01,"(16,)",0.001,824,48,0.18517185642895365,0.8178694158075601,0.27102785872061974,0.048320431785367435,0.04081632653061224,0.020833333333333332,1.0
MLP_multi_trunk_no_coords,spatial,False,20,4,0.01,"(16,)",0.001,816,53,0.17987727952576096,0.8531615519671605,0.43173906627201863,0.04795506663461919,0.10526315789473684,0.05660377358490566,0.9986893840104849
MLP_multi_trunk_no_coords,spatial,False,20,5,0.01,"(16,)",0.001,816,42,0.15229756524887375,0.8644333702473237,0.2939801949022609,0.041445203353593224,0.0851063829787234,0.047619047619047616,0.9961240310077519
MLP_multi_trunk_no_coords,spatial,False,21,1,0.01,"(32,)",0.01,824,49,0.17378585268799582,0.8861356155365372,0.36231897895385584,0.04836144297734951,0.3291139240506329,0.2653061224489796,0.9780645161290322
MLP_multi_trunk_no_coords,spatial,False,21,2,0.01,"(32,)",0.01,824,58,0.19373197537935044,0.8766768704420635,0.4183372276338017,0.05286803408011195,0.273972602739726,0.1724137931034483,0.9934725848563969
MLP_multi_trunk_no_coords,spatial,False,21,3,0.01,"(32,)",0.01,824,48,0.2033371582845791,0.8325010738831614,0.3481204732875244,0.0479144777890195,0.36619718309859156,0.2708333333333333,0.9871134020618557
MLP_multi_trunk_no_coords,spatial,False,21,4,0.01,"(32,)",0.01,816,53,0.17779027253737104,0.8859764089121888,0.4623519741290816,0.04670890556289359,0.40476190476190477,0.32075471698113206,0.981651376146789
MLP_multi_trunk_no_coords,spatial,False,21,5,0.01,"(32,)",0.01,816,42,0.16186494640323829,0.8752307124400147,0.3536792873925071,0.03972898035934598,0.3333333333333333,0.23809523809523808,0.9896640826873385
MLP_multi_trunk_no_coords,spatial,False,22,1,0.01,"(32,)",0.001,824,49,0.16200589076279878,0.8783146807109941,0.37023183103307344,0.045001128131196,0.2222222222222222,0.14285714285714285,0.9909677419354839
MLP_multi_trunk_no_coords,spatial,False,22,2,0.01,"(32,)",0.001,824,58,0.18416324353066968,0.8738858377599712,0.4000455504918525,0.05208800689519413,0.2318840579710145,0.13793103448275862,0.9960835509138382
MLP_multi_trunk_no_coords,spatial,False,22,3,0.01,"(32,)",0.001,824,48,0.18584249361492924,0.8171176975945017,0.3471050181909501,0.04659574252860968,0.21428571428571427,0.125,0.9974226804123711
MLP_multi_trunk_no_coords,spatial,False,22,4,0.01,"(32,)",0.001,816,53,0.17130036572709273,0.876925740003462,0.44857596720679677,0.04674686899580067,0.2222222222222222,0.1320754716981132,0.9960681520314548
MLP_multi_trunk_no_coords,spatial,False,22,5,0.01,"(32,)",0.001,816,42,0.14955349045381108,0.8785529715762275,0.288385631241077,0.042075948959462706,0.11764705882352941,0.07142857142857142,0.9922480620155039
MLP_multi_trunk_no_coords,spatial,False,23,1,0.01,"(16, 8)",0.01,824,49,0.1887266391598481,0.8676892692560896,0.36511050623006613,0.050188195614933304,0.3076923076923077,0.24489795918367346,0.9780645161290322
MLP_multi_trunk_no_coords,spatial,False,23,2,0.01,"(16, 8)",0.01,824,58,0.1751264383440556,0.9033717475465923,0.39375867354432564,0.05210566382777784,0.136986301369863,0.08620689655172414,0.9869451697127938
