model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,random,True,Cacophis kreftii,15,4,0.001,"(16, 8)",0.01,103,5,0.2852783214630646,0.8775510204081634,0.19,0.05650723998690398,0.0,0.0,0.9897959183673469
MLP_single_with_coords,random,True,Cacophis kreftii,15,5,0.001,"(16, 8)",0.01,102,3,0.1498301644607695,0.8956228956228957,0.16249999999999998,0.04361556091028518,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,16,1,0.001,"(16, 8)",0.001,103,2,0.09065298701426132,0.8267326732673268,0.07738095238095238,0.02082579813596253,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,16,2,0.001,"(16, 8)",0.001,103,3,0.10773989786535956,0.9033333333333334,0.1655677655677656,0.02876585779640095,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,16,3,0.001,"(16, 8)",0.001,102,3,0.08664393455570453,0.9393939393939393,0.24074074074074076,0.025728256327514333,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,16,4,0.001,"(16, 8)",0.001,103,5,0.1581875729210164,0.9,0.21967434526258056,0.046396433932164166,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,16,5,0.001,"(16, 8)",0.001,102,3,0.09025620480547865,0.9225589225589226,0.20555555555555557,0.026211462415511096,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,17,1,0.01,"(8,)",0.01,103,2,0.07501796740681912,0.900990099009901,0.12878787878787878,0.0204218229870583,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,17,2,0.01,"(8,)",0.01,103,3,0.11289482758830376,0.91,0.17370129870129872,0.03526909961381461,0.0,0.0,0.98
MLP_single_with_coords,random,True,Cacophis kreftii,17,3,0.01,"(8,)",0.01,102,3,0.0912145521745771,0.9326599326599326,0.23333333333333334,0.02713902605029559,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,17,4,0.01,"(8,)",0.01,103,5,0.1967678711413933,0.8265306122448981,0.1814047619047619,0.04657687365837163,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,17,5,0.01,"(8,)",0.01,102,3,0.07834006104007533,0.9663299663299664,0.3888888888888889,0.023955587943016117,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,18,1,0.01,"(8,)",0.001,103,2,0.07606748920660569,0.9455445544554456,0.225,0.018946910861984717,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,18,2,0.01,"(8,)",0.001,103,3,0.12085102561581647,0.81,0.1204780361757106,0.029608970897175343,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,18,3,0.01,"(8,)",0.001,102,3,0.10548790873694791,0.9090909090909091,0.19771241830065361,0.027632711333883692,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,18,4,0.01,"(8,)",0.001,103,5,0.18879577016651533,0.7346938775510204,0.17759203980099503,0.04636517710245388,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,18,5,0.01,"(8,)",0.001,102,3,0.09354608922189557,0.9326599326599326,0.2550505050505051,0.0254336704688637,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,19,1,0.01,"(16,)",0.01,103,2,0.08814838531012392,0.8663366336633663,0.10317460317460317,0.022429361066700456,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,19,2,0.01,"(16,)",0.01,103,3,0.12522629266579918,0.8833333333333333,0.14294871794871794,0.029577964650638926,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,19,3,0.01,"(16,)",0.01,102,3,0.08726353987943268,0.9427609427609427,0.28327228327228327,0.025778680624517582,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,19,4,0.01,"(16,)",0.01,103,5,0.19907617488442594,0.8959183673469387,0.21393162393162396,0.058749962297712996,0.0,0.0,0.9591836734693877
MLP_single_with_coords,random,True,Cacophis kreftii,19,5,0.01,"(16,)",0.01,102,3,0.08876723945737025,0.9427609427609428,0.2528138528138528,0.029477561792739707,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,20,1,0.01,"(16,)",0.001,103,2,0.07794339488535067,0.8910891089108911,0.15000000000000002,0.018658939153385234,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,20,2,0.01,"(16,)",0.001,103,3,0.0962094780474665,0.9233333333333333,0.20476190476190476,0.02620719081990434,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,20,3,0.01,"(16,)",0.001,102,3,0.09187967104233567,0.9326599326599326,0.4666666666666667,0.02442633860815861,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,20,4,0.01,"(16,)",0.001,103,5,0.17805077933255206,0.873469387755102,0.18803784450843275,0.04937530221763733,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,20,5,0.01,"(16,)",0.001,102,3,0.09509176759978513,0.9225589225589225,0.292063492063492,0.02532953324811399,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,21,1,0.01,"(32,)",0.01,103,2,0.07961037729774395,0.8960396039603961,0.12237762237762238,0.021706628847193793,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,21,2,0.01,"(32,)",0.01,103,3,0.12628571319500084,0.8866666666666666,0.148109243697479,0.02938085868656736,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,21,3,0.01,"(32,)",0.01,102,3,0.08212435703303116,0.9360269360269361,0.2409090909090909,0.024786993481553613,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,21,4,0.01,"(32,)",0.01,103,5,0.25050501127234354,0.8959183673469389,0.21774336774336775,0.06663833635982276,0.0,0.0,0.9489795918367347
MLP_single_with_coords,random,True,Cacophis kreftii,21,5,0.01,"(32,)",0.01,102,3,0.13039899107601977,0.9057239057239057,0.173109243697479,0.04052482411056676,0.0,0.0,0.9797979797979798
MLP_single_with_coords,random,True,Cacophis kreftii,22,1,0.01,"(32,)",0.001,103,2,0.08073570770299789,0.8811881188118812,0.10795454545454546,0.02069061693336616,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,22,2,0.01,"(32,)",0.001,103,3,0.10853775110104384,0.8700000000000001,0.13690476190476192,0.02783747192124386,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,22,3,0.01,"(32,)",0.001,102,3,0.0875544247498682,0.9629629629629629,0.3472222222222222,0.02412042099719759,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,22,4,0.01,"(32,)",0.001,103,5,0.18084927239057505,0.863265306122449,0.1796969696969697,0.04790643769102567,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,22,5,0.01,"(32,)",0.001,102,3,0.10106214350799464,0.8855218855218855,0.16096491228070176,0.027600623006165954,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,23,1,0.01,"(16, 8)",0.01,103,2,0.09629611179341017,0.8514851485148516,0.09722222222222221,0.02200760372120633,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,23,2,0.01,"(16, 8)",0.01,103,3,0.14955302884231564,0.8666666666666667,0.1327639751552795,0.030757411624544647,0.0,0.0,1.0
