split_type,test_plot,nearest_train_plot,distance_coordinate_units,distance_km
spatial,185,103.0,34042.271900064305,34.04227190006431
spatial,186,131.0,30117.221593425653,30.117221593425654
spatial,187,103.0,34190.38266782281,34.19038266782281
spatial,188,103.0,34526.01272745809,34.52601272745809
spatial,189,121.0,31954.937514584948,31.954937514584948
spatial,190,121.0,32155.20380541276,32.15520380541276
spatial,191,103.0,34741.790132818634,34.741790132818636
spatial,192,121.0,32756.48518801824,32.75648518801824
spatial,193,103.0,35421.94622867337,35.42194622867337
spatial,194,123.0,32969.87533371847,32.96987533371847
spatial,195,103.0,35488.32958463753,35.48832958463753
spatial,196,121.0,33157.15153502562,33.157151535025626
spatial,197,131.0,31966.64873107992,31.96664873107992
spatial,198,121.0,34759.82099171119,34.75982099171119
spatial,199,121.0,35159.450486442816,35.159450486442815
spatial,200,251.0,37834.805318435996,37.834805318436
spatial,201,121.0,35561.237882404464,35.56123788240446
spatial,202,121.0,35760.46941199192,35.76046941199192
spatial,203,251.0,36240.00154856444,36.24000154856444
spatial,204,121.0,37375.377365546774,37.375377365546775
spatial,205,121.0,38181.95540825688,38.18195540825688
spatial,206,121.0,38978.058476873586,38.978058476873585
spatial,207,251.0,34654.158331439496,34.6541583314395
spatial,208,123.0,39314.71056748077,39.314710567480766
spatial,209,123.0,39386.562991379666,39.38656299137966
spatial,210,121.0,39388.01129823713,39.38801129823713
spatial,211,251.0,32244.937876387656,32.24493787638765
spatial,212,251.0,32124.81657108226,32.12481657108226
spatial,213,251.0,31347.98281785487,31.34798281785487
spatial,214,264.0,36723.79535396075,36.723795353960746
spatial,215,264.0,36600.708460892514,36.60070846089251
spatial,216,264.0,36247.40439992023,36.247404399920235
spatial,217,264.0,35894.91299366542,35.89491299366542
spatial,218,264.0,36086.041159562665,36.08604115956266
spatial,219,264.0,35364.94270010328,35.364942700103285
spatial,220,264.0,35086.65264899804,35.08665264899804
spatial,221,251.0,24425.904419067425,24.425904419067425
spatial,222,264.0,34390.376361990246,34.39037636199025
spatial,223,264.0,34356.806164795285,34.35680616479529
spatial,224,251.0,23893.69639766928,23.893696397669277
spatial,225,251.0,23270.912938073274,23.270912938073273
spatial,226,251.0,22146.130346614147,22.146130346614147
spatial,227,264.0,33603.11938490061,33.60311938490061
spatial,228,264.0,32008.08163330207,32.00808163330207
spatial,229,264.0,31714.47404201291,31.71447404201291
spatial,230,262.0,25803.6500348777,25.803650034877702
spatial,231,264.0,30683.55509297898,30.683555092978978
spatial,232,251.0,20126.250288088515,20.126250288088514
spatial,233,251.0,19627.94432962066,19.62794432962066
spatial,234,251.0,18874.439883396033,18.874439883396033
spatial,235,251.0,12334.246691169927,12.334246691169927
spatial,236,251.0,11577.41625680504,11.577416256805039
spatial,237,251.0,11613.686844350628,11.613686844350628
spatial,238,262.0,13672.253040463578,13.672253040463579
spatial,239,262.0,13038.84932175555,13.03884932175555
spatial,240,264.0,12762.820974556098,12.762820974556098
spatial,241,264.0,12413.227184767802,12.413227184767802
spatial,242,262.0,9803.671253415614,9.803671253415613
spatial,243,262.0,9006.540795353685,9.006540795353684
spatial,244,262.0,8146.014866673614,8.146014866673614
spatial,245,262.0,8351.867087892406,8.351867087892407
spatial,246,262.0,8188.75134133892,8.18875134133892
spatial,247,262.0,8027.312148931808,8.027312148931808
spatial,248,250.0,1730.5462174241993,1.7305462174241992
spatial,249,250.0,896.4639649605261,0.8964639649605262
spatial,252,262.0,4855.954792536187,4.855954792536187
spatial,254,262.0,3946.6055437568752,3.9466055437568754
spatial,255,262.0,1401.200331773096,1.4012003317730959
random,7,5.0,400.213753761228,0.40021375376122803
random,15,16.0,196.93007325274482,0.1969300732527448
random,21,18.0,280.83067502382096,0.280830675023821
random,29,27.0,280.7463152118777,0.2807463152118777
random,30,33.0,280.8028838607424,0.28080288386074237
random,31,34.0,450.4472011015353,0.4504472011015353
random,37,38.0,806.7431526060241,0.806743152606024
random,41,39.0,200.28398506616392,0.20028398506616393
random,47,40.0,1442.9165107101146,1.4429165107101145
random,52,57.0,280.63320588105904,0.28063320588105906
random,56,57.0,206.5116789545791,0.20651167895457911
random,61,59.0,280.6301044033256,0.28063010440332564
random,62,60.0,280.6262196124557,0.2806262196124557
random,65,76.0,632.1401239301599,0.63214012393016
random,72,73.0,196.7250930238734,0.1967250930238734
random,78,79.0,206.551916850723,0.206551916850723
random,84,82.0,287.6189795257914,0.2876189795257914
random,87,88.0,1079.1433389302258,1.0791433389302258
random,92,93.0,196.60045728221675,0.19660045728221676
random,97,105.0,1617.7237197795725,1.6177237197795726
random,99,94.0,450.8401539125509,0.4508401539125509
random,101,100.0,280.8962948880056,0.2808962948880056
random,108,109.0,599.9205620498302,0.5999205620498302
random,116,114.0,280.76478818300615,0.28076478818300615
random,117,120.0,450.2227258662027,0.4502227258662027
random,121,127.0,825.1202861482491,0.8251202861482491
random,125,120.0,635.5451651215651,0.6355451651215651
random,129,124.0,1283.020624629709,1.283020624629709
random,132,112.0,3295.780329822884,3.2957803298228843
random,133,124.0,1984.7105942983076,1.9847105942983077
random,136,135.0,2280.6732802021957,2.280673280202196
random,139,137.0,631.8575164775955,0.6318575164775955
random,141,140.0,206.23413830232053,0.20623413830232054
random,148,147.0,449.6394681499479,0.44963946814994793
random,153,154.0,999.9015672406642,0.9999015672406643
random,160,159.0,196.344063845739,0.196344063845739
random,165,166.0,635.4453247064929,0.6354453247064928
random,169,170.0,1022.6384891273814,1.0226384891273814
random,172,176.0,2790.2556463356264,2.7902556463356265
random,173,171.0,634.6048597130157,0.6346048597130157
random,175,177.0,800.3972739039565,0.8003972739039565
random,180,183.0,1218.147018951359,1.218147018951359
random,181,183.0,1216.5278895046547,1.2165278895046547
random,185,188.0,723.5785443608162,0.7235785443608161
random,194,190.0,1005.8795621432545,1.0058795621432546
random,195,193.0,640.4825803769252,0.6404825803769252
random,203,200.0,1625.9503269063448,1.625950326906345
random,205,206.0,896.4613812212484,0.8964613812212484
random,209,210.0,401.7885412930612,0.4017885412930612
random,214,215.0,205.68237326047958,0.20568237326047958
random,226,225.0,1293.40896830616,1.29340896830616
random,231,229.0,1079.0957896105942,1.0790957896105942
random,232,233.0,3071.244559957013,3.071244559957013
random,236,235.0,801.9566031043429,0.8019566031043429
random,237,235.0,1171.8613771052294,1.1718613771052293
random,238,239.0,634.5492284927702,0.6345492284927702
random,253,258.0,827.7907937438795,0.8277907937438794
random,260,257.0,632.2980173302522,0.6322980173302521
random,261,259.0,717.377690363904,0.717377690363904
random,279,281.0,279.9863255834179,0.2799863255834179
random,282,284.0,279.49327662755616,0.27949327662755613
random,283,288.0,825.5592464373428,0.8255592464373428
random,285,284.0,195.05456801276821,0.19505456801276821
random,290,295.0,5042.135423963107,5.042135423963107
random,303,301.0,447.1246617637701,0.44712466176377014
random,307,309.0,999.8980810764688,0.9998980810764688
random,308,310.0,1133.116642035377,1.133116642035377
random,322,320.0,1009.7064662575553,1.0097064662575554
random,328,327.0,603.7418847553346,0.6037418847553346
random,329,327.0,1020.7172452305251,1.020717245230525
random,339,341.0,564.8594739721442,0.5648594739721442
random,352,355.0,721.7640563227575,0.7217640563227575
random,354,353.0,796.3955779514582,0.7963955779514582
random,369,363.0,905.0681438218882,0.9050681438218882
random,372,356.0,5252.269782196853,5.252269782196853
random,379,378.0,1220.532064332176,1.2205320643321762
random,380,382.0,1351.4632239014813,1.3514632239014814
random,381,382.0,1087.367250379677,1.087367250379677
random,384,386.0,634.5830403607954,0.6345830403607954
random,394,392.0,2974.5407578234967,2.9745407578234966
random,395,392.0,4266.846616719238,4.2668466167192385
random,396,398.0,631.7296173295321,0.631729617329532
random,400,406.0,1135.9343968770668,1.1359343968770668
random,403,404.0,1027.11567874614,1.02711567874614
random,407,406.0,601.2454728706396,0.6012454728706396
random,413,418.0,1460.6814019086903,1.4606814019086902
random,415,417.0,2243.558263650074,2.243558263650074
random,420,424.0,2000.6657095850635,2.0006657095850633
random,422,424.0,1080.5507455736567,1.0805507455736567
random,427,429.0,631.7381535210137,0.6317381535210137
random,447,451.0,1421.7869467730882,1.4217869467730881
random,449,451.0,1902.170758251963,1.902170758251963
random,450,448.0,459.00407931369205,0.459004079313692
random,458,451.0,1416.42640690018,1.41642640690018
random,461,460.0,2515.4518145653474,2.5154518145653473
random,462,460.0,4771.517995007938,4.7715179950079385
random,463,460.0,4711.983578224488,4.711983578224488
random,464,465.0,1166.7585504947765,1.1667585504947764
random,475,476.0,812.6566858256805,0.8126566858256805
random,480,479.0,903.5948907724119,0.9035948907724118
random,481,479.0,1718.5607004316582,1.7185607004316583
random,488,489.0,442.94020949344633,0.4429402094934463
random,490,489.0,733.5795815034251,0.7335795815034251
random,494,495.0,442.37402905333215,0.4423740290533322
random,499,498.0,1273.0208831660786,1.2730208831660788
random,507,505.0,819.7803198029478,0.8197803198029479
random,508,509.0,1000.2075533371191,1.000207553337119
random,510,512.0,1448.65507782486,1.44865507782486
random,514,512.0,1130.9155723077008,1.130915572307701
random,525,528.0,15904.51682038251,15.904516820382511
random,531,529.0,1285.329268267788,1.285329268267788
random,533,534.0,1023.199812097735,1.023199812097735
random,537,538.0,724.2841043958438,0.7242841043958438
random,545,546.0,633.9515002859191,0.6339515002859191
random,558,557.0,1021.6818523103587,1.0216818523103588
random,567,568.0,832.9552168901265,0.8329552168901265
random,572,570.0,601.6245656794345,0.6016245656794345
random,576,575.0,1569.5902456645097,1.5695902456645097
random,579,580.0,1136.5540378290675,1.1365540378290675
random,585,586.0,1002.1231448455086,1.0021231448455086
random,599,594.0,2579.437626461347,2.579437626461347
random,602,605.0,2697.8541874103944,2.6978541874103943
random,606,607.0,1006.4713700441321,1.0064713700441321
random,624,629.0,1427.9823663713726,1.4279823663713727
random,628,626.0,1290.4252609310058,1.2904252609310058
random,630,629.0,720.089394518204,0.720089394518204
random,639,637.0,1906.9847589724154,1.9069847589724154
random,640,641.0,1287.6817138283204,1.2876817138283205
