model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,2,5,0.01,balanced,103,1,0.40155614597976036,0.07843137254901966,0.010526315789473684,0.11906062678608019,0.0,0.0,0.8823529411764706
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,3,1,0.1,,102,0,0.007685148107074841,,,6.185474032785087e-05,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,3,2,0.1,,103,1,0.05670920367318732,0.4411764705882353,0.017241379310344827,0.009640182828732035,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,3,3,0.1,,103,1,0.05798819319290137,0.3529411764705882,0.014925373134328358,0.009652604661358727,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,3,4,0.1,,102,0,0.00720169732873242,,,5.6461175914596726e-05,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,3,5,0.1,,103,1,0.0620823592993068,0.08823529411764708,0.010638297872340425,0.00968126517192663,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,4,1,0.1,balanced,102,0,0.5477246830061256,,,0.18389791493851745,0.0,,0.7647058823529411
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,4,2,0.1,balanced,103,1,0.5229649876765149,0.6176470588235294,0.025,0.18086148369249952,0.0,0.0,0.696078431372549
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,4,3,0.1,balanced,103,1,0.29854462518389985,0.4117647058823529,0.01639344262295082,0.08724238097703987,0.0,0.0,0.8921568627450981
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,4,4,0.1,balanced,102,0,0.43587310187105627,,,0.14375249333135126,0.0,,0.7745098039215687
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,4,5,0.1,balanced,103,1,0.26498664978442554,0.06862745098039214,0.010416666666666666,0.06303272192980652,0.0,0.0,0.9607843137254902
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,5,1,1.0,,102,0,0.008100283551680606,,,0.00011217726947220661,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,5,2,1.0,,103,1,0.05875399613755353,0.4901960784313726,0.018867924528301886,0.009670199239771245,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,5,3,1.0,,103,1,0.0633110176710222,0.5098039215686274,0.0196078431372549,0.009738330319570497,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,5,4,1.0,,102,0,0.00694578421833234,,,9.94358039518843e-05,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,5,5,1.0,,103,1,0.08034725947237135,0.12745098039215685,0.011111111111111112,0.009743799413264245,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,6,1,1.0,balanced,102,0,0.5901773623006952,,,0.17046615596325107,0.0,,0.7941176470588235
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,6,2,1.0,balanced,103,1,0.5313979369485413,0.6372549019607843,0.02631578947368421,0.17495669194662436,0.0,0.0,0.7352941176470589
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,6,3,1.0,balanced,103,1,0.28410976068998306,0.4509803921568627,0.017543859649122806,0.07251520406129844,0.0,0.0,0.9117647058823529
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,6,4,1.0,balanced,102,0,0.4016666009356903,,,0.12946112701438822,0.0,,0.8235294117647058
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,6,5,1.0,balanced,103,1,0.2561912896762966,0.04901960784313725,0.009708737864077669,0.041696789463579485,0.0,0.0,0.9607843137254902
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,7,1,10.0,,102,0,0.00912920967814666,,,0.0003310421119154988,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,7,2,10.0,,103,1,0.06294788946624602,0.5,0.019230769230769232,0.009730570171046551,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,7,3,10.0,,103,1,0.07841408643500183,0.4607843137254902,0.017857142857142856,0.010388400959671855,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,7,4,10.0,,102,0,0.00674225967316629,,,0.00016747307578029723,0.0,,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,7,5,10.0,,103,1,0.092040590642167,0.2549019607843137,0.012987012987012988,0.009755150639871016,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,8,1,10.0,balanced,102,0,0.6441377885209314,,,0.1682355871547099,0.0,,0.8137254901960784
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,8,2,10.0,balanced,103,1,0.5649316973313873,0.6470588235294117,0.02702702702702703,0.1741224681488121,0.0,0.0,0.7745098039215687
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,8,3,10.0,balanced,103,1,0.35549415047693567,0.4607843137254902,0.017857142857142856,0.06772791567812513,0.0,0.0,0.9411764705882353
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,8,4,10.0,balanced,102,0,0.402451023247953,,,0.1260241418299208,0.0,,0.8333333333333334
Logistic_single_no_coords,spatial,False,Eulamprus murrayi,8,5,10.0,balanced,103,1,0.23415600570891384,0.19117647058823528,0.009708737864077669,0.03818781169259473,0.0,0.0,0.9607843137254902
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,1,1,0.01,,103,20,0.46951302092837216,0.6662650602409639,0.3693504485852162,0.1489080821988514,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,1,2,0.01,,102,20,0.4859976857180658,0.6189024390243902,0.26276648734243124,0.15517009360299044,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,1,3,0.01,,102,20,0.4759369853156113,0.6804878048780488,0.31593989210811174,0.15196825771954883,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,1,4,0.01,,102,20,0.4751184283701246,0.6707317073170732,0.34189801321706864,0.15127111817882158,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,1,5,0.01,,104,21,0.47590245023711625,0.7194492254733218,0.3645135190436927,0.15240876057826094,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,2,1,0.01,balanced,103,20,0.6331832404579444,0.6849397590361446,0.3673638325312349,0.2202179502344627,0.46808510638297873,0.55,0.8072289156626506
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,2,2,0.01,balanced,102,20,0.6513017549057574,0.6323170731707317,0.2636060339505681,0.22914083723206696,0.2857142857142857,0.35,0.7317073170731707
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,2,3,0.01,balanced,102,20,0.6680452330763987,0.6847560975609757,0.308926106456617,0.2367938913865195,0.4,0.6,0.6585365853658537
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,2,4,0.01,balanced,102,20,0.6751394175976714,0.6841463414634146,0.32946830471514665,0.24057764954081623,0.4,0.65,0.6097560975609756
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,2,5,0.01,balanced,104,21,0.6509523937979349,0.7171543316121629,0.3542065877531084,0.22900123256543675,0.45161290322580644,0.6666666666666666,0.6746987951807228
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,3,1,0.1,,103,20,0.45518321775471954,0.6819277108433734,0.3914942428170607,0.1434936525506223,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,3,2,0.1,,102,20,0.48237317003868846,0.6219512195121951,0.29636727192364976,0.1539793002579716,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,3,3,0.1,,102,20,0.47166367443611856,0.6853658536585366,0.3238100089899091,0.15258512661754353,0.0,0.0,0.9390243902439024
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,3,4,0.1,,102,20,0.47043049461902675,0.6817073170731707,0.34815253326948586,0.15124349566922682,0.08333333333333333,0.05,0.9634146341463414
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,3,5,0.1,,104,21,0.4664077625965862,0.706253585771658,0.3650358491356758,0.14998328620553703,0.0,0.0,0.9879518072289156
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,4,1,0.1,balanced,103,20,0.6051998623600853,0.708433734939759,0.3769907613102152,0.20690428707795674,0.4489795918367347,0.55,0.7831325301204819
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,4,2,0.1,balanced,102,20,0.632084313677648,0.6347560975609756,0.2787796139539312,0.21987341830311072,0.3673469387755102,0.45,0.7560975609756098
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,4,3,0.1,balanced,102,20,0.6705247622307366,0.6981707317073171,0.31952177568821943,0.23418425971064835,0.3870967741935484,0.6,0.6341463414634146
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,4,4,0.1,balanced,102,20,0.6943078199977639,0.6890243902439025,0.32615637202749254,0.2458601182892861,0.38235294117647056,0.65,0.573170731707317
Logistic_single_no_coords,spatial,False,Ophioscincus truncatus,4,5,0.1,balanced,104,21,0.6425793566733659,0.7033849684452095,0.33578365646430697,0.22376774792661916,0.41935483870967744,0.6190476190476191,0.6626506024096386
