model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,2,2,0.01,balanced,103,13,0.6375748215345561,0.7401709401709402,0.28216727248828155,0.22338834566720864,0.3728813559322034,0.8461538461538461,0.6111111111111112
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,2,3,0.01,balanced,103,13,0.5927355331526564,0.8358974358974359,0.34936066798913706,0.20180960168036208,0.35714285714285715,0.7692307692307693,0.6333333333333333
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,2,4,0.01,balanced,103,13,0.608915762191475,0.7683760683760683,0.2631049176019419,0.2097075076241377,0.36363636363636365,0.7692307692307693,0.6444444444444445
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,2,5,0.01,balanced,102,13,0.627000705303688,0.6568712186689715,0.21562245195893753,0.21895328348931434,0.2545454545454545,0.5384615384615384,0.6067415730337079
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,3,1,0.1,,102,12,0.3226115183043501,0.7731481481481481,0.2631571420728036,0.09707780668058998,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,3,2,0.1,,103,13,0.33499776041740914,0.7461538461538462,0.28611092490498014,0.10211516733344411,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,3,3,0.1,,103,13,0.31071540128490777,0.8333333333333333,0.34086593075954774,0.0958734038221454,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,3,4,0.1,,103,13,0.3311993066476342,0.7623931623931625,0.2464345002482924,0.10266412293015209,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,3,5,0.1,,102,13,0.35996351836304524,0.6629213483146068,0.21651702099070522,0.10864510895764846,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,4,1,0.1,balanced,102,12,0.5570362723820033,0.762962962962963,0.25038482381267874,0.19085327684021514,0.375,0.75,0.7
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,4,2,0.1,balanced,103,13,0.6259902158331875,0.7495726495726496,0.28789998104993475,0.21961685646590295,0.39344262295081966,0.9230769230769231,0.6
