model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_with_coords,spatial,True,3,3,0.1,,816,48,0.19742885133988883,0.767849392361111,0.1769832328871096,0.05200421954333205,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,3,4,0.1,,816,49,0.18996644759697465,0.8254263895910385,0.22127901845234185,0.051432116761638856,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,3,5,0.1,,824,51,0.19317236694936024,0.8063566953301372,0.2511334620720121,0.051761075013548784,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,4,1,0.1,balanced,824,50,0.49899630629155806,0.8799483204134366,0.3133968890324695,0.16332587920188812,0.3250883392226148,0.92,0.7583979328165374
Logistic_multi_with_coords,spatial,True,4,2,0.1,balanced,824,52,0.5059158623741553,0.8423176564368274,0.28380789027564535,0.16660722615929363,0.2978723404255319,0.8076923076923077,0.7564766839378239
Logistic_multi_with_coords,spatial,True,4,3,0.1,balanced,816,48,0.5189653726805391,0.776095920138889,0.17438130797669563,0.1693096544614672,0.29343629343629346,0.7916666666666666,0.7747395833333334
Logistic_multi_with_coords,spatial,True,4,4,0.1,balanced,816,49,0.5101992052154546,0.8307745523241891,0.20937058637756908,0.16796674967340472,0.3,0.8571428571428571,0.7535853976531942
Logistic_multi_with_coords,spatial,True,4,5,0.1,balanced,824,51,0.5212720806621355,0.8062552317175253,0.24325384125335361,0.17333743646712374,0.2620689655172414,0.7450980392156863,0.7399741267787839
Logistic_multi_with_coords,spatial,True,5,1,1.0,,824,50,0.16872199811791488,0.8872609819121446,0.33735164240106247,0.047925141631851825,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,5,2,1.0,,824,52,0.18589569718185214,0.839714527700279,0.28686930584877285,0.05093876020276965,0.0,0.0,0.9987046632124352
Logistic_multi_with_coords,spatial,True,5,3,1.0,,816,48,0.1973953619100968,0.7763671875,0.18303440996856912,0.05218280923228614,0.0,0.0,0.9973958333333334
Logistic_multi_with_coords,spatial,True,5,4,1.0,,816,49,0.18654606291218773,0.8299231035308516,0.22254091521468425,0.05144866204766194,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,5,5,1.0,,824,51,0.1947338365686056,0.8023235167288132,0.25042838471294543,0.051700461963114876,0.07142857142857142,0.0392156862745098,0.9961190168175937
Logistic_multi_with_coords,spatial,True,6,1,1.0,balanced,824,50,0.4963380387876949,0.8759431524547804,0.3065014203755377,0.16315341208019774,0.3049645390070922,0.86,0.7558139534883721
Logistic_multi_with_coords,spatial,True,6,2,1.0,balanced,824,52,0.5026710863257214,0.8424422080510163,0.28393053857899603,0.16600769019073114,0.2968197879858657,0.8076923076923077,0.7551813471502591
Logistic_multi_with_coords,spatial,True,6,3,1.0,balanced,816,48,0.5197077546494663,0.7788628472222222,0.17481693679508073,0.1694270600635936,0.30115830115830117,0.8125,0.7760416666666666
Logistic_multi_with_coords,spatial,True,6,4,1.0,balanced,816,49,0.5093915819014468,0.8311204533964824,0.20786366049627067,0.16807267664818357,0.3,0.8571428571428571,0.7535853976531942
Logistic_multi_with_coords,spatial,True,6,5,1.0,balanced,824,51,0.5243843219224521,0.8042259594652867,0.24273663943903415,0.17514222734964757,0.2620689655172414,0.7450980392156863,0.7399741267787839
Logistic_multi_with_coords,spatial,True,7,1,10.0,,824,50,0.1681293897376757,0.8861240310077519,0.3339944327019153,0.04788770950070646,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,7,2,10.0,,824,52,0.18576585640028312,0.8397020725388602,0.286163128539937,0.05088384748763276,0.0,0.0,0.9974093264248705
Logistic_multi_with_coords,spatial,True,7,3,10.0,,816,48,0.19806440132083208,0.777126736111111,0.1838736836738869,0.05223240599378138,0.0,0.0,0.9973958333333334
Logistic_multi_with_coords,spatial,True,7,4,10.0,,816,49,0.18658983706305265,0.8293111247106404,0.22080391028591506,0.051521549624947996,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,7,5,10.0,,824,51,0.19693695106173917,0.8003196103797275,0.2504922233707483,0.051781594870925846,0.07142857142857142,0.0392156862745098,0.9961190168175937
Logistic_multi_with_coords,spatial,True,8,1,10.0,balanced,824,50,0.4963998148337737,0.875297157622739,0.30624357345927566,0.16328830278170794,0.303886925795053,0.86,0.7545219638242894
Logistic_multi_with_coords,spatial,True,8,2,10.0,balanced,824,52,0.5025503826339861,0.8423923874053408,0.2843234332353383,0.16607244619270864,0.2968197879858657,0.8076923076923077,0.7551813471502591
Logistic_multi_with_coords,spatial,True,8,3,10.0,balanced,816,48,0.5200724789456059,0.7791612413194444,0.1749259633078473,0.16952539427131633,0.30115830115830117,0.8125,0.7760416666666666
Logistic_multi_with_coords,spatial,True,8,4,10.0,balanced,816,49,0.5095183858208169,0.8312268844956496,0.2081999204447231,0.1681862206111553,0.3,0.8571428571428571,0.7535853976531942
Logistic_multi_with_coords,spatial,True,8,5,10.0,balanced,824,51,0.5255436471422557,0.8037693732085331,0.2425415536319148,0.17562705414411336,0.2620689655172414,0.7450980392156863,0.7399741267787839
