model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,random,True,Egernia mcpheei,5,5,1.0,,102,1,0.048200291418314174,0.9306930693069306,0.125,0.010133964493071938,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Egernia mcpheei,6,1,1.0,balanced,103,2,0.3738050377653349,0.6633663366336633,0.04206349206349206,0.11960398053758511,0.0,0.0,0.8514851485148515
Logistic_single_with_coords,random,True,Egernia mcpheei,6,2,1.0,balanced,103,2,0.42815971111022727,0.9653465346534653,0.30952380952380953,0.14364648465245214,0.16666666666666666,1.0,0.801980198019802
Logistic_single_with_coords,random,True,Egernia mcpheei,6,3,1.0,balanced,103,2,0.4186392959678879,0.47029702970297027,0.02878726010616578,0.11211487129428695,0.0,0.0,0.8712871287128713
Logistic_single_with_coords,random,True,Egernia mcpheei,6,4,1.0,balanced,102,2,0.6416664408605934,0.81,0.07125603864734299,0.2018078390378084,0.12121212121212122,1.0,0.71
Logistic_single_with_coords,random,True,Egernia mcpheei,6,5,1.0,balanced,102,1,0.6346162022799318,0.9603960396039604,0.2,0.20860413837553707,0.06060606060606061,1.0,0.693069306930693
Logistic_single_with_coords,random,True,Egernia mcpheei,7,1,10.0,,103,2,0.10137728258240593,0.7772277227722773,0.060798548094373864,0.019957379907489588,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Egernia mcpheei,7,2,10.0,,103,2,0.06872318850115085,0.9851485148514851,0.5,0.01763200061465494,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Egernia mcpheei,7,3,10.0,,103,2,0.17612884811897803,0.3564356435643564,0.022474747474747474,0.024925271614337337,0.0,0.0,0.9900990099009901
Logistic_single_with_coords,random,True,Egernia mcpheei,7,4,10.0,,102,2,0.0850808600716665,0.875,0.10427807486631016,0.020150432411500507,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Egernia mcpheei,7,5,10.0,,102,1,0.05017940473016457,0.9306930693069306,0.125,0.011130535906091256,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Egernia mcpheei,8,1,10.0,balanced,103,2,0.3717367194014756,0.6534653465346535,0.04015151515151515,0.12064082917156549,0.0,0.0,0.8316831683168316
Logistic_single_with_coords,random,True,Egernia mcpheei,8,2,10.0,balanced,103,2,0.4222061937315479,0.9603960396039604,0.29166666666666663,0.14207226591746108,0.17391304347826086,1.0,0.8118811881188119
Logistic_single_with_coords,random,True,Egernia mcpheei,8,3,10.0,balanced,103,2,0.49682309825383053,0.4554455445544554,0.027364110201042444,0.11501227536310724,0.0,0.0,0.8712871287128713
Logistic_single_with_coords,random,True,Egernia mcpheei,8,4,10.0,balanced,102,2,0.6512068494021367,0.8,0.06847826086956521,0.2021014024752716,0.12121212121212122,1.0,0.71
Logistic_single_with_coords,random,True,Egernia mcpheei,8,5,10.0,balanced,102,1,0.6486925732433492,0.9603960396039604,0.2,0.21025051028048358,0.0625,1.0,0.7029702970297029
Logistic_single_with_coords,random,True,Eulamprus murrayi,1,1,0.01,,103,0,0.004888690638846608,,,2.3850682737187498e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,1,2,0.01,,103,1,0.06061419308020009,0.8431372549019608,0.058823529411764705,0.009666279061770654,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,1,3,0.01,,102,0,0.004907716284939711,,,2.403661748047557e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,1,4,0.01,,102,0,0.004843944619654981,,,2.3393621881968984e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,1,5,0.01,,103,1,0.060608710458637055,0.6862745098039216,0.030303030303030304,0.009666258703990594,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,2,1,0.01,balanced,103,0,0.3795004509246669,,,0.11297716829518675,0.0,,0.8737864077669902
Logistic_single_with_coords,random,True,Eulamprus murrayi,2,2,0.01,balanced,103,1,0.37223448077951693,0.9019607843137255,0.09090909090909091,0.10810461931893557,0.0,0.0,0.9019607843137255
Logistic_single_with_coords,random,True,Eulamprus murrayi,2,3,0.01,balanced,102,0,0.4074514575110663,,,0.122600703271825,0.0,,0.8921568627450981
Logistic_single_with_coords,random,True,Eulamprus murrayi,2,4,0.01,balanced,102,0,0.3286654936910742,,,0.09022530833148497,0.0,,0.9117647058823529
Logistic_single_with_coords,random,True,Eulamprus murrayi,2,5,0.01,balanced,103,1,0.28318461297449354,0.7254901960784313,0.034482758620689655,0.08169312850130325,0.0,0.0,0.9019607843137255
Logistic_single_with_coords,random,True,Eulamprus murrayi,3,1,0.1,,103,0,0.004930517779772417,,,2.7639116309768343e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,3,2,0.1,,103,1,0.059033767234665,0.8725490196078431,0.07142857142857142,0.009657900863147545,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,3,3,0.1,,102,0,0.005029038772947842,,,3.12674000678401e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,3,4,0.1,,102,0,0.004528055562659323,,,2.311122583535661e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,3,5,0.1,,103,1,0.05935630655183279,0.696078431372549,0.03125,0.009660368953039875,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,4,1,0.1,balanced,103,0,0.2122687490467298,,,0.0630659859176288,0.0,,0.9223300970873787
Logistic_single_with_coords,random,True,Eulamprus murrayi,4,2,0.1,balanced,103,1,0.17867635114707947,0.8529411764705882,0.0625,0.05171750794673412,0.0,0.0,0.9411764705882353
Logistic_single_with_coords,random,True,Eulamprus murrayi,4,3,0.1,balanced,102,0,0.3184452668714296,,,0.08525011967632144,0.0,,0.9019607843137255
Logistic_single_with_coords,random,True,Eulamprus murrayi,4,4,0.1,balanced,102,0,0.14576055780395222,,,0.04152310821468514,0.0,,0.9313725490196079
Logistic_single_with_coords,random,True,Eulamprus murrayi,4,5,0.1,balanced,103,1,0.16493131858715812,0.7450980392156863,0.037037037037037035,0.051148081484809996,0.0,0.0,0.9411764705882353
Logistic_single_with_coords,random,True,Eulamprus murrayi,5,1,1.0,,103,0,0.00505792617335384,,,8.514017856971804e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,5,2,1.0,,103,1,0.0547160152650289,0.8627450980392157,0.06666666666666667,0.009631879538328942,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,5,3,1.0,,102,0,0.01032651591423357,,,0.0010389863349347952,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,5,4,1.0,,102,0,0.003327157188717297,,,4.858730265242454e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,5,5,1.0,,103,1,0.0623369162146584,0.7352941176470589,0.03571428571428571,0.00971767425130792,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,6,1,1.0,balanced,103,0,0.13810584158192066,,,0.0397165856965263,0.0,,0.9611650485436893
Logistic_single_with_coords,random,True,Eulamprus murrayi,6,2,1.0,balanced,103,1,0.10630568539780433,0.7843137254901961,0.043478260869565216,0.02989319269205309,0.0,0.0,0.9705882352941176
Logistic_single_with_coords,random,True,Eulamprus murrayi,6,3,1.0,balanced,102,0,0.32263645198960805,,,0.06709201979829199,0.0,,0.9117647058823529
Logistic_single_with_coords,random,True,Eulamprus murrayi,6,4,1.0,balanced,102,0,0.05762938424136088,,,0.016986240800482545,0.0,,0.9803921568627451
Logistic_single_with_coords,random,True,Eulamprus murrayi,6,5,1.0,balanced,103,1,0.1679288979573717,0.7156862745098039,0.03333333333333333,0.04429467373367302,0.0,0.0,0.9509803921568627
Logistic_single_with_coords,random,True,Eulamprus murrayi,7,1,10.0,,103,0,0.0070841980904353735,,,0.0006285238339585423,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,7,2,10.0,,103,1,0.0629889834038639,0.7549019607843137,0.038461538461538464,0.009692902663858206,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,7,3,10.0,,102,0,0.03025902630596122,,,0.010114251903571276,0.0,,0.9803921568627451
Logistic_single_with_coords,random,True,Eulamprus murrayi,7,4,10.0,,102,0,0.0012975433715268748,,,1.4816812721173306e-05,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,7,5,10.0,,103,1,0.09660551197637969,0.7058823529411764,0.03225806451612903,0.01067763624698635,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,8,1,10.0,balanced,103,0,0.12576417655371014,,,0.032981172981357366,0.0,,0.970873786407767
Logistic_single_with_coords,random,True,Eulamprus murrayi,8,2,10.0,balanced,103,1,0.10690076310980008,0.7254901960784313,0.034482758620689655,0.017528273905769904,0.0,0.0,0.9901960784313726
Logistic_single_with_coords,random,True,Eulamprus murrayi,8,3,10.0,balanced,102,0,0.3226231400262133,,,0.05558746494924029,0.0,,0.9411764705882353
Logistic_single_with_coords,random,True,Eulamprus murrayi,8,4,10.0,balanced,102,0,0.005636786838611389,,,0.0005481580302540051,0.0,,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,8,5,10.0,balanced,103,1,0.20554764606015555,0.7058823529411764,0.03225806451612903,0.035588218798470704,0.0,0.0,0.9705882352941176
Logistic_single_with_coords,random,True,Ophioscincus truncatus,1,1,0.01,,102,17,0.43261327125592175,0.698961937716263,0.2924692532835932,0.13429051652246085,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,1,2,0.01,,103,18,0.45187154216480085,0.6490196078431373,0.26237213986508595,0.1412566954962849,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,1,3,0.01,,102,17,0.4307343864588064,0.6899653979238755,0.28178428127059335,0.13324704287775194,0.0,0.0,1.0
