model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_interactions_no_coords,random,False,5,3,1.0,,824,50,0.1871459848853778,0.8190180878552972,0.25853215864308154,0.050394385271005405,0.03636363636363636,0.02,0.9948320413436692
Logistic_multi_interactions_no_coords,random,False,5,4,1.0,,816,49,0.17574898340369963,0.858207168134529,0.2601170703210933,0.04964091883690434,0.03636363636363636,0.02040816326530612,0.9934810951760105
Logistic_multi_interactions_no_coords,random,False,5,5,1.0,,816,48,0.18499415261893842,0.8371039496527777,0.20212979812114618,0.05299880785907143,0.0,0.0,0.984375
Logistic_multi_interactions_no_coords,random,False,6,1,1.0,balanced,824,52,0.446485982501592,0.85723893981666,0.31658367503301166,0.14708440132216555,0.3208955223880597,0.8269230769230769,0.7759067357512953
Logistic_multi_interactions_no_coords,random,False,6,2,1.0,balanced,824,52,0.4802666655982971,0.8626195695496215,0.23609024271879656,0.153215595549052,0.34980988593155893,0.8846153846153846,0.7862694300518135
Logistic_multi_interactions_no_coords,random,False,6,3,1.0,balanced,824,50,0.47587341421078155,0.8213953488372092,0.23733701003533655,0.15606177895216392,0.29927007299270075,0.82,0.7635658914728682
Logistic_multi_interactions_no_coords,random,False,6,4,1.0,balanced,816,49,0.46083509542533413,0.8607881222893329,0.24267073288572288,0.14933291822727246,0.32061068702290074,0.8571428571428571,0.7770534550195567
Logistic_multi_interactions_no_coords,random,False,6,5,1.0,balanced,816,48,0.5055631988269751,0.8367513020833334,0.18890792293384673,0.16131500416334582,0.2857142857142857,0.7708333333333334,0.7734375
Logistic_multi_interactions_no_coords,random,False,7,1,10.0,,824,52,0.17944038267012374,0.856093064966122,0.33270299823563,0.04945911896144989,0.10714285714285714,0.057692307692307696,0.9987046632124352
Logistic_multi_interactions_no_coords,random,False,7,2,10.0,,824,52,0.1818801486746105,0.8656835392586688,0.2505622352629886,0.053403458440193896,0.034482758620689655,0.019230769230769232,0.9935233160621761
Logistic_multi_interactions_no_coords,random,False,7,3,10.0,,824,50,0.19368049893468095,0.8163824289405686,0.25095231770603205,0.050672326781585585,0.03636363636363636,0.02,0.9948320413436692
Logistic_multi_interactions_no_coords,random,False,7,4,10.0,,816,49,0.17604222242081435,0.8586595003059893,0.2630190217764308,0.04951648668361266,0.03636363636363636,0.02040816326530612,0.9934810951760105
Logistic_multi_interactions_no_coords,random,False,7,5,10.0,,816,48,0.18823282827781693,0.8323567708333334,0.19493118534570952,0.053967255165882126,0.0,0.0,0.9817708333333334
Logistic_multi_interactions_no_coords,random,False,8,1,10.0,balanced,824,52,0.45192238536385265,0.8570645675567956,0.30177097763920635,0.14891613070216822,0.3208955223880597,0.8269230769230769,0.7759067357512953
Logistic_multi_interactions_no_coords,random,False,8,2,10.0,balanced,824,52,0.4854038957367563,0.8610502192108409,0.22969235929870147,0.15541267873716808,0.3458646616541353,0.8846153846153846,0.7823834196891192
Logistic_multi_interactions_no_coords,random,False,8,3,10.0,balanced,824,50,0.48652850620847704,0.8175710594315245,0.22499925287411865,0.15882547215774284,0.2939068100358423,0.82,0.7571059431524548
Logistic_multi_interactions_no_coords,random,False,8,4,10.0,balanced,816,49,0.46036917835654423,0.8611606311364179,0.23891023604600328,0.15028961036398475,0.3181818181818182,0.8571428571428571,0.7744458930899609
Logistic_multi_interactions_no_coords,random,False,8,5,10.0,balanced,816,48,0.5154667959185036,0.8322211371527778,0.18147256260628092,0.1640544001105073,0.2900763358778626,0.7916666666666666,0.7708333333333334
