model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_with_coords,random,True,Ophioscincus truncatus,128,26,0.3948409319303424,0.8265460030165912,0.5800869534915071,0.12216087788740494,0.42105263157894735,0.3076923076923077,0.9607843137254902
XGBoost_multi_with_coords,random,True,Pseudechis porphyricaus,128,3,0.12873551572762718,0.5066666666666666,0.03636164581786333,0.023964911086820286,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,Saltuarius swaini,128,1,0.04299970396388241,0.9055118110236221,0.07692307692307693,0.007759448591915438,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,random,True,Cacophis kreftii,128,4,0.0952869162960683,0.9495967741935484,0.3737373737373737,0.02587836136135737,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,random,True,Calyptotis scutirostrum,128,16,0.21336976296024487,0.9229910714285715,0.6936919055125149,0.06671371429236192,0.48,0.375,0.9732142857142857
XGBoost_multi_interactions_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.29478242432973156,0.8847222222222222,0.6327826213055405,0.09325378400407368,0.5454545454545454,0.6,0.8888888888888888
XGBoost_multi_interactions_with_coords,random,True,Egernia mcpheei,128,3,0.09437985424168162,0.84,0.1365546218487395,0.022194245213483378,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,random,True,Eulamprus murrayi,128,1,0.05470012651055493,0.2913385826771654,0.01098901098901099,0.007918182080914401,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,random,True,Ophioscincus truncatus,128,26,0.3922929860608357,0.8374811463046758,0.5748698698434344,0.12609918039990548,0.32432432432432434,0.23076923076923078,0.9509803921568627
XGBoost_multi_interactions_with_coords,random,True,Pseudechis porphyricaus,128,3,0.13861244581190318,0.5146666666666666,0.047403930277946024,0.026072807298044176,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,random,True,Saltuarius swaini,128,1,0.041229759195960954,0.8897637795275591,0.06666666666666667,0.0077006579712068195,0.0,0.0,1.0
