model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,9,1,0.8,0.1,3,100,0.8,103,5,0.1599496475002915,0.9163265306122449,0.3634615384615385,0.041311373979625476,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,9,2,0.8,0.1,3,100,0.8,103,4,0.10166757700520243,0.9494949494949495,0.5029761904761905,0.030131712322070646,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,9,3,0.8,0.1,3,100,0.8,102,4,0.16306639526302655,0.8418367346938775,0.23797313797313796,0.036608641965545204,0.3333333333333333,0.25,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,9,4,0.8,0.1,3,100,0.8,103,4,0.1111087880404184,0.9393939393939393,0.28525641025641024,0.03616525184393653,0.0,0.0,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,9,5,0.8,0.1,3,100,0.8,102,2,0.07465757068115851,0.9400000000000001,0.3269230769230769,0.02219862479857212,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,10,1,0.8,0.1,3,100,1.0,103,5,0.1738471026708353,0.9020408163265307,0.3733333333333333,0.04123376828437402,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,10,2,0.8,0.1,3,100,1.0,103,4,0.09868226439455424,0.9494949494949495,0.49374999999999997,0.029720346253966527,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,10,3,0.8,0.1,3,100,1.0,102,4,0.17254772182459463,0.8494897959183674,0.17959594933279144,0.04154311315460557,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,10,4,0.8,0.1,3,100,1.0,103,4,0.10284329045520775,0.9393939393939393,0.2816849816849817,0.03362936997031026,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,10,5,0.8,0.1,3,100,1.0,102,2,0.09376958998235833,0.9149999999999999,0.3055555555555556,0.025316789556773994,0.5,0.5,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,11,1,0.8,0.1,3,300,0.8,103,5,0.19521186122578427,0.8510204081632653,0.3292929292929293,0.042898165060655594,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,11,2,0.8,0.1,3,300,0.8,103,4,0.12471490844686058,0.9343434343434344,0.4484339190221543,0.033274587739125776,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,11,3,0.8,0.1,3,300,0.8,102,4,0.17943313376499476,0.7831632653061225,0.3630478896103896,0.035202371206560584,0.3333333333333333,0.25,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,11,4,0.8,0.1,3,300,0.8,103,4,0.11880917222564788,0.9469696969696969,0.3254349816849817,0.036231227155282035,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,11,5,0.8,0.1,3,300,0.8,102,2,0.0847133686934308,0.93,0.31666666666666665,0.023713473695138897,0.5,0.5,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,12,1,0.8,0.1,3,300,1.0,103,5,0.21337177947200459,0.8469387755102041,0.353650533223954,0.04438807230505976,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,12,2,0.8,0.1,3,300,1.0,103,4,0.11945409176324939,0.9368686868686869,0.4576923076923077,0.03155706970788302,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,12,3,0.8,0.1,3,300,1.0,102,4,0.1940412194848859,0.8137755102040817,0.1819171256228691,0.041702795791237215,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,12,4,0.8,0.1,3,300,1.0,103,4,0.10975724951276476,0.952020202020202,0.34374999999999994,0.03629992238512156,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,12,5,0.8,0.1,3,300,1.0,102,2,0.11166510543522896,0.905,0.21929824561403508,0.026426711822426088,0.4,0.5,0.98
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,13,1,0.8,0.1,5,100,0.8,103,5,0.16205983932605436,0.9081632653061226,0.3504761904761905,0.04108226985176049,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,13,2,0.8,0.1,5,100,0.8,103,4,0.10626637452145801,0.9343434343434344,0.4660714285714286,0.02976095342195119,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,13,3,0.8,0.1,5,100,0.8,102,4,0.16098874515418135,0.8443877551020409,0.25277777777777777,0.036368836325963036,0.3333333333333333,0.25,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,13,4,0.8,0.1,5,100,0.8,103,4,0.11394616680800006,0.9267676767676767,0.2433191808191808,0.03676036715973766,0.0,0.0,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,13,5,0.8,0.1,5,100,0.8,102,2,0.08207489041846422,0.935,0.3214285714285714,0.024072104190026512,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,14,1,0.8,0.1,5,100,1.0,103,5,0.16561067871192708,0.926530612244898,0.4683333333333333,0.04032191040519923,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,14,2,0.8,0.1,5,100,1.0,103,4,0.10683256735051444,0.9419191919191919,0.46249999999999997,0.03295980145762143,0.2857142857142857,0.25,0.9797979797979798
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,14,3,0.8,0.1,5,100,1.0,102,4,0.18165746887052425,0.8392857142857143,0.196062831497348,0.044631573786160506,0.0,0.0,0.9795918367346939
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,14,4,0.8,0.1,5,100,1.0,103,4,0.09645464940267191,0.9570707070707071,0.4047619047619047,0.03113822412323883,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,14,5,0.8,0.1,5,100,1.0,102,2,0.09857246562575443,0.9199999999999999,0.3088235294117647,0.026604281560615072,0.4,0.5,0.98
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,15,1,0.8,0.1,5,300,0.8,103,5,0.19872633325193687,0.8428571428571429,0.3361290322580645,0.044007307951260184,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,15,2,0.8,0.1,5,300,0.8,103,4,0.12553098098094234,0.9343434343434344,0.4404040404040404,0.03283720024461234,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,15,3,0.8,0.1,5,300,0.8,102,4,0.17560444034245176,0.8086734693877551,0.24404761904761904,0.03642038455907696,0.3333333333333333,0.25,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,15,4,0.8,0.1,5,300,0.8,103,4,0.11723659150587232,0.9368686868686869,0.2818452380952381,0.036479489357721585,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,15,5,0.8,0.1,5,300,0.8,102,2,0.0917651582161874,0.925,0.23333333333333334,0.025253207226027335,0.4,0.5,0.98
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,16,1,0.8,0.1,5,300,1.0,103,5,0.20241464242753987,0.8510204081632653,0.32923217133743454,0.04390440821462037,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,16,2,0.8,0.1,5,300,1.0,103,4,0.12430424104259856,0.9419191919191919,0.46818181818181814,0.03441180721888461,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,16,3,0.8,0.1,5,300,1.0,102,4,0.19828851563982286,0.8163265306122449,0.18677536231884057,0.04543555169722032,0.0,0.0,0.9795918367346939
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,16,4,0.8,0.1,5,300,1.0,103,4,0.10203829273525757,0.9570707070707071,0.40476190476190477,0.033458432826259335,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,16,5,0.8,0.1,5,300,1.0,102,2,0.10668722267283905,0.9099999999999999,0.2222222222222222,0.025922031238498188,0.4,0.5,0.98
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,17,1,1.0,0.03,3,100,0.8,103,5,0.13793874054228006,0.9204081632653062,0.42878542510121465,0.04060780253685183,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,17,2,1.0,0.03,3,100,0.8,103,4,0.09238526961952509,0.9545454545454546,0.5375,0.02774013741512871,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,17,3,1.0,0.03,3,100,0.8,102,4,0.1516387156912168,0.8392857142857143,0.1633289955658377,0.03851781106991227,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,17,4,1.0,0.03,3,100,0.8,103,4,0.09736709609095272,0.9595959595959596,0.40208333333333335,0.03052404287614329,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,17,5,1.0,0.03,3,100,0.8,102,2,0.07622057915280903,0.93,0.31666666666666665,0.020859363752939074,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,18,1,1.0,0.03,3,100,1.0,103,5,0.13374802414234996,0.9285714285714286,0.48926161557740505,0.03938761906694697,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,18,2,1.0,0.03,3,100,1.0,103,4,0.09143142042604252,0.952020202020202,0.49166666666666664,0.0278204248946027,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,18,3,1.0,0.03,3,100,1.0,102,4,0.15839322300203565,0.8341836734693877,0.1553134465168181,0.04038046467694232,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,18,4,1.0,0.03,3,100,1.0,103,4,0.10121351379126578,0.9431818181818182,0.30892857142857144,0.031680614024710424,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,18,5,1.0,0.03,3,100,1.0,102,2,0.08811095452957547,0.9049999999999999,0.21929824561403508,0.02437980629286526,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,19,1,1.0,0.03,3,300,0.8,103,5,0.1622461670994909,0.9244897959183673,0.4504545454545455,0.041715225014068255,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,19,2,1.0,0.03,3,300,0.8,103,4,0.10113841607580093,0.9393939393939393,0.4583333333333333,0.02922260319537916,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,19,3,1.0,0.03,3,300,0.8,102,4,0.160030724094688,0.8520408163265306,0.21857769423558898,0.03774661957508121,0.0,0.0,0.9795918367346939
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,19,4,1.0,0.03,3,300,0.8,103,4,0.09338924343760795,0.9621212121212122,0.43333333333333335,0.030423327836939133,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,19,5,1.0,0.03,3,300,0.8,102,2,0.0855745298601737,0.935,0.3214285714285714,0.024565421745568302,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,20,1,1.0,0.03,3,300,1.0,103,5,0.16016924390788692,0.9204081632653061,0.45720375106564365,0.039558896151123825,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,20,2,1.0,0.03,3,300,1.0,103,4,0.09703670502269973,0.9494949494949494,0.49375,0.029439713155095075,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,20,3,1.0,0.03,3,300,1.0,102,4,0.17815984535991516,0.8341836734693878,0.19673913043478258,0.0440620821097996,0.0,0.0,0.9693877551020408
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,20,4,1.0,0.03,3,300,1.0,103,4,0.10304003503066773,0.9393939393939393,0.28525641025641024,0.032805501062197664,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,20,5,1.0,0.03,3,300,1.0,102,2,0.09569283361947512,0.9149999999999999,0.3055555555555556,0.025525694639766686,0.5,0.5,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,21,1,1.0,0.03,5,100,0.8,103,5,0.13823381553162803,0.9326530612244898,0.45384370015948966,0.04028289438945297,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,21,2,1.0,0.03,5,100,0.8,103,4,0.09455369739501009,0.9494949494949495,0.49642857142857144,0.028444318278327906,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,21,3,1.0,0.03,5,100,0.8,102,4,0.15192380076308803,0.8290816326530612,0.1626082251082251,0.03823745588853932,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,21,4,1.0,0.03,5,100,0.8,103,4,0.09675685726680547,0.9545454545454545,0.39166666666666666,0.030429889143357695,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,21,5,1.0,0.03,5,100,0.8,102,2,0.07652136225181426,0.925,0.3125,0.021364834390843863,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,22,1,1.0,0.03,5,100,1.0,103,5,0.1388407298999753,0.926530612244898,0.4288235294117647,0.03904694313743746,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,22,2,1.0,0.03,5,100,1.0,103,4,0.09264628779785368,0.9570707070707071,0.5047619047619047,0.028294260187053583,0.4,0.25,1.0
