model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_no_coords,spatial,False,7,1,0.8,0.03,5,300,0.8,824,48,0.15646221130985008,0.8738187285223368,0.43219969270099984,0.04255863952911871,0.35294117647058826,0.25,0.9896907216494846
XGBoost_multi_no_coords,spatial,False,7,2,0.8,0.03,5,300,0.8,824,49,0.15716793983822558,0.8734957208689929,0.420110112090777,0.042624529919317325,0.26229508196721313,0.16326530612244897,0.9948387096774194
XGBoost_multi_no_coords,spatial,False,7,3,0.8,0.03,5,300,0.8,816,53,0.1638220478866427,0.8833304483295829,0.4698481753534236,0.044314495566859846,0.3380281690140845,0.22641509433962265,0.9921363040629095
XGBoost_multi_no_coords,spatial,False,7,4,0.8,0.03,5,300,0.8,816,45,0.14396147243748025,0.8975933131575154,0.4238499804664687,0.040075177989243524,0.35294117647058826,0.26666666666666666,0.9857328145265889
XGBoost_multi_no_coords,spatial,False,7,5,0.8,0.03,5,300,0.8,824,55,0.1762487290365449,0.871710604090318,0.40624315562400803,0.048589535891301695,0.3157894736842105,0.21818181818181817,0.988296488946684
XGBoost_multi_no_coords,spatial,False,8,1,0.8,0.03,5,300,1.0,824,48,0.1590475302957857,0.869469501718213,0.42030222474352036,0.04343347349253757,0.3235294117647059,0.22916666666666666,0.9884020618556701
XGBoost_multi_no_coords,spatial,False,8,2,0.8,0.03,5,300,1.0,824,49,0.15825014620961145,0.8776563528637261,0.40219954939430885,0.04342563099722284,0.2033898305084746,0.12244897959183673,0.9948387096774194
XGBoost_multi_no_coords,spatial,False,8,3,0.8,0.03,5,300,1.0,816,53,0.1679213183741581,0.8832562625188555,0.44871064553900347,0.045895703986955916,0.1875,0.11320754716981132,0.9934469200524246
XGBoost_multi_no_coords,spatial,False,8,4,0.8,0.03,5,300,1.0,816,45,0.15210924432468167,0.8880818561752414,0.3738599148328108,0.042123028877208896,0.24615384615384617,0.17777777777777778,0.9844357976653697
XGBoost_multi_no_coords,spatial,False,8,5,0.8,0.03,5,300,1.0,824,55,0.1806651882933308,0.8656815226386098,0.41073692150548485,0.04929874404868231,0.273972602739726,0.18181818181818182,0.9895968790637191
XGBoost_multi_no_coords,spatial,False,9,1,0.8,0.1,3,100,0.8,824,48,0.15991490252686974,0.8689862542955327,0.40698326894440884,0.04336848593810711,0.2033898305084746,0.125,0.9935567010309279
XGBoost_multi_no_coords,spatial,False,9,2,0.8,0.1,3,100,0.8,824,49,0.16021780196290228,0.864147465437788,0.42673912569910216,0.04302904666474284,0.21052631578947367,0.12244897959183673,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,9,3,0.8,0.1,3,100,0.8,816,53,0.16640372426742467,0.8839239348154008,0.4246033163124676,0.04616014238523431,0.24615384615384617,0.1509433962264151,0.9947575360419397
XGBoost_multi_no_coords,spatial,False,9,4,0.8,0.1,3,100,0.8,816,45,0.15020950089786675,0.8939904885430177,0.3940234557951081,0.04141714703715981,0.22580645161290322,0.15555555555555556,0.9870298313878081
XGBoost_multi_no_coords,spatial,False,9,5,0.8,0.1,3,100,0.8,824,55,0.1753991915776634,0.8694171887930014,0.4419801522786088,0.04834669347163832,0.1935483870967742,0.10909090909090909,0.9986996098829649
XGBoost_multi_no_coords,spatial,False,10,1,0.8,0.1,3,100,1.0,824,48,0.16060351552096006,0.8637779209621994,0.40843313102336565,0.04338282566207407,0.2413793103448276,0.14583333333333334,0.9961340206185567
XGBoost_multi_no_coords,spatial,False,10,2,0.8,0.1,3,100,1.0,824,49,0.16246798671860307,0.8679921000658327,0.4066590636446043,0.04416823846152561,0.14545454545454545,0.08163265306122448,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,10,3,0.8,0.1,3,100,1.0,816,53,0.1693511790034358,0.8823165755829768,0.416155554576812,0.0472059706888742,0.13114754098360656,0.07547169811320754,0.9947575360419397
XGBoost_multi_no_coords,spatial,False,10,4,0.8,0.1,3,100,1.0,816,45,0.15427468417415316,0.8850554834990634,0.3827914454654339,0.04198631021606782,0.20689655172413793,0.13333333333333333,0.9909208819714657
XGBoost_multi_no_coords,spatial,False,10,5,0.8,0.1,3,100,1.0,824,55,0.1767302545509789,0.8703629270599361,0.44814912542965923,0.04894157176049291,0.16666666666666666,0.09090909090909091,1.0
XGBoost_multi_no_coords,spatial,False,11,1,0.8,0.1,3,300,0.8,824,48,0.16454628790393683,0.8630798969072165,0.4110306102378476,0.044017837692613845,0.3076923076923077,0.20833333333333334,0.990979381443299
XGBoost_multi_no_coords,spatial,False,11,2,0.8,0.1,3,300,0.8,824,49,0.15943527952567815,0.8694404213298222,0.4252262182280662,0.042195446071141104,0.26229508196721313,0.16326530612244897,0.9948387096774194
XGBoost_multi_no_coords,spatial,False,11,3,0.8,0.1,3,300,0.8,816,53,0.17103701297690385,0.8748732659066742,0.45413894278303857,0.044951715158807304,0.3333333333333333,0.22641509433962265,0.9908256880733946
XGBoost_multi_no_coords,spatial,False,11,4,0.8,0.1,3,300,0.8,816,45,0.1462683496259755,0.8979968295143391,0.44187516978642294,0.041155783414691935,0.2898550724637681,0.2222222222222222,0.9818417639429312
XGBoost_multi_no_coords,spatial,False,11,5,0.8,0.1,3,300,0.8,824,55,0.18015141896042744,0.8686605981794538,0.39597262236189146,0.04892778509963798,0.2702702702702703,0.18181818181818182,0.988296488946684
XGBoost_multi_no_coords,spatial,False,12,1,0.8,0.1,3,300,1.0,824,48,0.16565916364220673,0.8592676116838489,0.417235370909312,0.04424172970202129,0.2898550724637681,0.20833333333333334,0.9858247422680413
XGBoost_multi_no_coords,spatial,False,12,2,0.8,0.1,3,300,1.0,824,49,0.1615494447868147,0.8718630678077682,0.4058057423322923,0.04312106127651567,0.22950819672131148,0.14285714285714285,0.9935483870967742
XGBoost_multi_no_coords,spatial,False,12,3,0.8,0.1,3,300,1.0,816,53,0.16775309354343912,0.8866193526051585,0.4383800726051559,0.04579537531596631,0.2608695652173913,0.16981132075471697,0.9908256880733946
XGBoost_multi_no_coords,spatial,False,12,4,0.8,0.1,3,300,1.0,816,45,0.1528281069605116,0.8906182447038478,0.4018413714659668,0.04218276533172269,0.29850746268656714,0.2222222222222222,0.9844357976653697
XGBoost_multi_no_coords,spatial,False,12,5,0.8,0.1,3,300,1.0,824,55,0.18136987694514303,0.8667454781889113,0.39933600792942503,0.048916389272946385,0.2777777777777778,0.18181818181818182,0.9908972691807543
XGBoost_multi_no_coords,spatial,False,13,1,0.8,0.1,5,100,0.8,824,48,0.1586158652341104,0.8752416237113402,0.4218150643042377,0.04334479321593076,0.36363636363636365,0.25,0.9922680412371134
XGBoost_multi_no_coords,spatial,False,13,2,0.8,0.1,5,100,0.8,824,49,0.154793512603274,0.8784463462804475,0.434935376658854,0.04199059594397458,0.2857142857142857,0.1836734693877551,0.9935483870967742
XGBoost_multi_no_coords,spatial,False,13,3,0.8,0.1,5,100,0.8,816,53,0.16462864485659484,0.8853829224263706,0.4614736863967369,0.0446270001466401,0.3333333333333333,0.22641509433962265,0.9908256880733946
XGBoost_multi_no_coords,spatial,False,13,4,0.8,0.1,5,100,0.8,816,45,0.1484539367618301,0.8930969880386223,0.3959112609906455,0.0418137055164684,0.3333333333333333,0.26666666666666666,0.980544747081712
XGBoost_multi_no_coords,spatial,False,13,5,0.8,0.1,5,100,0.8,824,55,0.17965368280054236,0.8684005201560467,0.41199963086479713,0.04929022518460641,0.29333333333333333,0.2,0.988296488946684
XGBoost_multi_no_coords,spatial,False,14,1,0.8,0.1,5,100,1.0,824,48,0.16133765615891396,0.8620865549828178,0.4211191087056024,0.04342886775819019,0.34782608695652173,0.25,0.9884020618556701
XGBoost_multi_no_coords,spatial,False,14,2,0.8,0.1,5,100,1.0,824,49,0.15939645517783943,0.86862409479921,0.4217950681612093,0.042825962158144285,0.1724137931034483,0.10204081632653061,0.9948387096774194
