model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,21,3,1.0,0.03,5,100,0.8,102,4,0.16305807815828208,0.7142857142857143,0.11605629539951574,0.03889141977626876,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,21,4,1.0,0.03,5,100,0.8,103,4,0.14205734419162167,0.8838383838383838,0.1888227513227513,0.03970213821623273,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,21,5,1.0,0.03,5,100,0.8,102,2,0.07132828605188997,0.95,0.225,0.01728303550580084,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,22,1,1.0,0.03,5,100,1.0,103,5,0.1571344301679469,0.8918367346938776,0.2837301587301587,0.043337925925684535,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,22,2,1.0,0.03,5,100,1.0,103,4,0.12257874150003256,0.9015151515151515,0.3883458646616541,0.03306762434021514,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,22,3,1.0,0.03,5,100,1.0,102,4,0.16462499246081186,0.7423469387755102,0.12163561076604554,0.03946033289040414,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,22,4,1.0,0.03,5,100,1.0,103,4,0.13631856439943954,0.8838383838383839,0.21252705627705626,0.03922605477067092,0.0,0.0,0.9797979797979798
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,22,5,1.0,0.03,5,100,1.0,102,2,0.07097476312128437,0.96,0.26666666666666666,0.017337365801516527,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,23,1,1.0,0.03,5,300,0.8,103,5,0.17172872724609434,0.8653061224489795,0.293171780340043,0.043127392535119595,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,23,2,1.0,0.03,5,300,0.8,103,4,0.1343350261529953,0.8585858585858586,0.3740530303030303,0.03237248228248228,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,23,3,1.0,0.03,5,300,0.8,102,4,0.18257592126413144,0.7321428571428572,0.12218963831867058,0.04230699111806626,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,23,4,1.0,0.03,5,300,0.8,103,4,0.16064109360621928,0.898989898989899,0.19962121212121212,0.04975141631807237,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,23,5,1.0,0.03,5,300,0.8,102,2,0.07250568365098786,0.94,0.19444444444444442,0.02177354245790035,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,24,1,1.0,0.03,5,300,1.0,103,5,0.17132475560437865,0.9020408163265307,0.27976190476190477,0.044143156096745254,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,24,2,1.0,0.03,5,300,1.0,103,4,0.1480157084963258,0.8535353535353535,0.36073232323232324,0.035227227853766405,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,24,3,1.0,0.03,5,300,1.0,102,4,0.18607693715603948,0.7500000000000001,0.1357048748353096,0.04233305287952853,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,24,4,1.0,0.03,5,300,1.0,103,4,0.15589413968454466,0.9191919191919191,0.2368326118326118,0.049467584755052106,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,24,5,1.0,0.03,5,300,1.0,102,2,0.0709656406572503,0.95,0.2361111111111111,0.021033629271362982,0.0,0.0,0.98
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,25,1,1.0,0.1,3,100,0.8,103,5,0.17815157186840141,0.8408163265306123,0.281991341991342,0.04452571671730721,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,25,2,1.0,0.1,3,100,0.8,103,4,0.13380737888393576,0.8585858585858586,0.3634996582365003,0.03161425204126495,0.4,0.25,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,25,3,1.0,0.1,3,100,0.8,102,4,0.1898268213988516,0.6683673469387754,0.1068889970788705,0.04004745182271893,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,25,4,1.0,0.1,3,100,0.8,103,4,0.1506185962366003,0.9015151515151515,0.21014492753623187,0.04602399164284666,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,25,5,1.0,0.1,3,100,0.8,102,2,0.07170657107250486,0.9450000000000001,0.20833333333333331,0.021621974621665457,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,26,1,1.0,0.1,3,100,1.0,103,5,0.1684815655561265,0.8938775510204082,0.33063025210084035,0.043891093793182505,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,26,2,1.0,0.1,3,100,1.0,103,4,0.12839190317421645,0.8863636363636364,0.40608465608465605,0.030974427049769687,0.4,0.25,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,26,3,1.0,0.1,3,100,1.0,102,4,0.1838352773574029,0.7168367346938775,0.16136363636363638,0.041690704023836914,0.0,0.0,0.9897959183673469
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,26,4,1.0,0.1,3,100,1.0,103,4,0.15397463506446452,0.9015151515151515,0.22655677655677656,0.04824455429867446,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,26,5,1.0,0.1,3,100,1.0,102,2,0.06948786948634743,0.95,0.225,0.02027697987891631,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,27,1,1.0,0.1,3,300,0.8,103,5,0.2044886906213873,0.8163265306122449,0.2482312783002438,0.04487182469972851,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,27,2,1.0,0.1,3,300,0.8,103,4,0.169026607163356,0.8156565656565656,0.3541448972483455,0.0328664736212533,0.4,0.25,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,27,3,1.0,0.1,3,300,0.8,102,4,0.21576928744573967,0.6581632653061225,0.11878534938879766,0.04036635495282945,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,27,4,1.0,0.1,3,300,0.8,103,4,0.1764464612410116,0.8863636363636364,0.19294363044363044,0.05093559313809073,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,27,5,1.0,0.1,3,300,0.8,102,2,0.07730715396863863,0.94,0.19444444444444442,0.025461668813861298,0.0,0.0,0.98
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,28,1,1.0,0.1,3,300,1.0,103,5,0.1937851001191578,0.8693877551020408,0.318974358974359,0.04354857185605446,0.0,0.0,1.0
