model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_with_coords,random,True,6,2,0.8,0.03,5,100,1.0,824,51,0.1720197448572296,0.8616797301067904,0.3349506130904463,0.04830643396909068,0.2647058823529412,0.17647058823529413,0.9896507115135834
XGBoost_multi_with_coords,random,True,6,3,0.8,0.03,5,100,1.0,824,53,0.15938887833820128,0.907703790715317,0.43646820296994676,0.04543587776584867,0.16129032258064516,0.09433962264150944,0.9948119325551232
XGBoost_multi_with_coords,random,True,6,4,0.8,0.03,5,100,1.0,816,48,0.13544051036638588,0.9291449652777777,0.5507144713109872,0.03708294164374191,0.31746031746031744,0.20833333333333334,0.9934895833333334
XGBoost_multi_with_coords,random,True,6,5,0.8,0.03,5,100,1.0,816,48,0.1446057138269446,0.9055989583333334,0.5127692321346161,0.03966633057157162,0.3225806451612903,0.20833333333333334,0.9947916666666666
XGBoost_multi_with_coords,random,True,7,1,0.8,0.03,5,300,0.8,824,51,0.14486182090985225,0.8994241939984272,0.5445037780695939,0.03946259575938508,0.43243243243243246,0.3137254901960784,0.9909443725743855
XGBoost_multi_with_coords,random,True,7,2,0.8,0.03,5,300,0.8,824,51,0.17607103848990893,0.8643177840347005,0.34979428147242,0.048425230185169685,0.3157894736842105,0.23529411764705882,0.9831824062095731
XGBoost_multi_with_coords,random,True,7,3,0.8,0.03,5,300,0.8,824,53,0.16222437023645012,0.9029439835548051,0.4424572530356866,0.046328584662528725,0.3380281690140845,0.22641509433962265,0.9922178988326849
XGBoost_multi_with_coords,random,True,7,4,0.8,0.03,5,300,0.8,816,48,0.12350564563701007,0.9391276041666667,0.5655358763101376,0.034813874584479876,0.48717948717948717,0.3958333333333333,0.9856770833333334
XGBoost_multi_with_coords,random,True,7,5,0.8,0.03,5,300,0.8,816,48,0.13459927987691395,0.9147949218750001,0.5343443462842332,0.03762395324192287,0.4444444444444444,0.3333333333333333,0.9895833333333334
XGBoost_multi_with_coords,random,True,8,1,0.8,0.03,5,300,1.0,824,51,0.14919700301932776,0.8948836973340435,0.5288782642798202,0.04048070912405849,0.4657534246575342,0.3333333333333333,0.9935316946959897
XGBoost_multi_with_coords,random,True,8,2,0.8,0.03,5,300,1.0,824,51,0.1767862637992474,0.8632524161022754,0.33938446891551843,0.04912230230373591,0.26666666666666666,0.19607843137254902,0.981888745148771
XGBoost_multi_with_coords,random,True,8,3,0.8,0.03,5,300,1.0,824,53,0.15920307806861572,0.906737146073465,0.44273227694450107,0.04594600797727961,0.30985915492957744,0.20754716981132076,0.9909208819714657
XGBoost_multi_with_coords,random,True,8,4,0.8,0.03,5,300,1.0,816,48,0.12847126622793587,0.9333496093749999,0.5675805843507169,0.035800235440596545,0.48717948717948717,0.3958333333333333,0.9856770833333334
XGBoost_multi_with_coords,random,True,8,5,0.8,0.03,5,300,1.0,816,48,0.13834449665121817,0.9122992621527778,0.5101646126825266,0.038527586250135845,0.39436619718309857,0.2916666666666667,0.98828125
XGBoost_multi_with_coords,random,True,9,1,0.8,0.1,3,100,0.8,824,51,0.15516871319128422,0.886056363036806,0.47276711364327945,0.042510558596290625,0.2857142857142857,0.17647058823529413,0.9961190168175937
XGBoost_multi_with_coords,random,True,9,2,0.8,0.1,3,100,0.8,824,51,0.1752291020388468,0.8497197067701595,0.33969968761918445,0.04758827774640543,0.23529411764705882,0.1568627450980392,0.9883570504527813
XGBoost_multi_with_coords,random,True,9,3,0.8,0.1,3,100,0.8,824,53,0.16234517058816364,0.8973398918336881,0.42891020880146513,0.04611348905333937,0.16666666666666666,0.09433962264150944,0.9974059662775616
XGBoost_multi_with_coords,random,True,9,4,0.8,0.1,3,100,0.8,816,48,0.13637086049531755,0.9305284288194443,0.5007981658446308,0.03795713052065366,0.3880597014925373,0.2708333333333333,0.9921875
XGBoost_multi_with_coords,random,True,9,5,0.8,0.1,3,100,0.8,816,48,0.1411795933781557,0.909423828125,0.5042918511232669,0.03927147631355135,0.23333333333333334,0.14583333333333334,0.9934895833333334
XGBoost_multi_with_coords,random,True,10,1,0.8,0.1,3,100,1.0,824,51,0.15875128564854724,0.8806026938589149,0.4639496571170434,0.04348351481720374,0.1724137931034483,0.09803921568627451,0.9974126778783958
XGBoost_multi_with_coords,random,True,10,2,0.8,0.1,3,100,1.0,824,51,0.17732526636932647,0.8447987215584811,0.33387735812322283,0.0481304647653612,0.19047619047619047,0.11764705882352941,0.9922380336351876
XGBoost_multi_with_coords,random,True,10,3,0.8,0.1,3,100,1.0,824,53,0.15901775855457048,0.9045836086435162,0.4447054179848613,0.045581827316480625,0.13333333333333333,0.07547169811320754,0.9961089494163424
XGBoost_multi_with_coords,random,True,10,4,0.8,0.1,3,100,1.0,816,48,0.14106976350805275,0.9263916015624999,0.4981504353424988,0.03940604256655801,0.25806451612903225,0.16666666666666666,0.9921875
XGBoost_multi_with_coords,random,True,10,5,0.8,0.1,3,100,1.0,816,48,0.14609086131098797,0.899197048611111,0.5003158127226773,0.03991742800128653,0.23333333333333334,0.14583333333333334,0.9934895833333334
XGBoost_multi_with_coords,random,True,11,1,0.8,0.1,3,300,0.8,824,51,0.15178320301397852,0.8946807701088197,0.5136968620972179,0.04086321673794533,0.35294117647058826,0.23529411764705882,0.9935316946959897
XGBoost_multi_with_coords,random,True,11,2,0.8,0.1,3,300,0.8,824,51,0.18402632783299144,0.8537402024199071,0.35358817257455183,0.04819400024018593,0.3116883116883117,0.23529411764705882,0.981888745148771
XGBoost_multi_with_coords,random,True,11,3,0.8,0.1,3,300,0.8,824,53,0.1737083802018351,0.8885544380001469,0.39558193988292506,0.04859845835262753,0.2608695652173913,0.16981132075471697,0.9909208819714657
XGBoost_multi_with_coords,random,True,11,4,0.8,0.1,3,300,0.8,816,48,0.12785100648999959,0.9344075520833333,0.5366711656111747,0.035764153961020444,0.5301204819277109,0.4583333333333333,0.9830729166666666
XGBoost_multi_with_coords,random,True,11,5,0.8,0.1,3,300,0.8,816,48,0.13550831158304877,0.916748046875,0.5296051330867307,0.0379684947584655,0.4533333333333333,0.3541666666666667,0.9869791666666666
XGBoost_multi_with_coords,random,True,12,1,0.8,0.1,3,300,1.0,824,51,0.15173378739911783,0.8918397889556857,0.5230052448616088,0.04078464119950092,0.29850746268656714,0.19607843137254902,0.9922380336351876
XGBoost_multi_with_coords,random,True,12,2,0.8,0.1,3,300,1.0,824,51,0.1822462473775696,0.8501889759784897,0.3464134581749478,0.04786956491015526,0.2857142857142857,0.19607843137254902,0.9883570504527813
XGBoost_multi_with_coords,random,True,12,3,0.8,0.1,3,300,1.0,824,53,0.1643110378225146,0.8982943004674155,0.4162627585750115,0.04705174751302128,0.2857142857142857,0.18867924528301888,0.9909208819714657
XGBoost_multi_with_coords,random,True,12,4,0.8,0.1,3,300,1.0,816,48,0.12763360639830568,0.9375813802083333,0.5705461414587872,0.03552513545420258,0.5,0.3958333333333333,0.98828125
XGBoost_multi_with_coords,random,True,12,5,0.8,0.1,3,300,1.0,816,48,0.13669200074798485,0.912353515625,0.5269177870460331,0.037915604081999656,0.42857142857142855,0.3125,0.9908854166666666
XGBoost_multi_with_coords,random,True,13,1,0.8,0.1,5,100,0.8,824,51,0.14741372681083906,0.8898866144129061,0.5383687487443979,0.03943670060716143,0.43243243243243246,0.3137254901960784,0.9909443725743855
XGBoost_multi_with_coords,random,True,13,2,0.8,0.1,5,100,0.8,824,51,0.17772947546451517,0.8692387692463791,0.35299966916367875,0.04893552221356718,0.3116883116883117,0.23529411764705882,0.981888745148771
XGBoost_multi_with_coords,random,True,13,3,0.8,0.1,5,100,0.8,824,53,0.165026467001249,0.9007904461248563,0.4230660453963188,0.04695156425195414,0.2777777777777778,0.18867924528301888,0.9883268482490273
XGBoost_multi_with_coords,random,True,13,4,0.8,0.1,5,100,0.8,816,48,0.12640292267766445,0.9347330729166667,0.5758066043062728,0.03563072414677686,0.4864864864864865,0.375,0.9895833333333334
XGBoost_multi_with_coords,random,True,13,5,0.8,0.1,5,100,0.8,816,48,0.13120556664428307,0.9212782118055555,0.5509191048843333,0.036864184335418514,0.5135135135135135,0.3958333333333333,0.9908854166666666
XGBoost_multi_with_coords,random,True,14,1,0.8,0.1,5,100,1.0,824,51,0.14939793612025556,0.8946807701088199,0.5147817010516706,0.040657367107207285,0.43243243243243246,0.3137254901960784,0.9909443725743855
XGBoost_multi_with_coords,random,True,14,2,0.8,0.1,5,100,1.0,824,51,0.17565206870748884,0.8679451081855769,0.3489236555695084,0.04877822088170157,0.273972602739726,0.19607843137254902,0.9844760672703752
XGBoost_multi_with_coords,random,True,14,3,0.8,0.1,5,100,1.0,824,53,0.16021097754455838,0.9027482074248098,0.45264963364917,0.04554709188699285,0.3013698630136986,0.20754716981132076,0.9883268482490273
XGBoost_multi_with_coords,random,True,14,4,0.8,0.1,5,100,1.0,816,48,0.12833254896482868,0.9331054687500001,0.5585775597441666,0.035761430476967136,0.5194805194805194,0.4166666666666667,0.98828125
XGBoost_multi_with_coords,random,True,14,5,0.8,0.1,5,100,1.0,816,48,0.14003012172267415,0.9098849826388888,0.49739074919023135,0.03899064149610106,0.39436619718309857,0.2916666666666667,0.98828125
XGBoost_multi_with_coords,random,True,15,1,0.8,0.1,5,300,0.8,824,51,0.16234948664425053,0.8868427060345484,0.5363939185796687,0.04034526643431596,0.4810126582278481,0.37254901960784315,0.9883570504527813
XGBoost_multi_with_coords,random,True,15,2,0.8,0.1,5,300,0.8,824,51,0.20179756033759472,0.8608426553027421,0.36017426961517823,0.05009144652686501,0.358974358974359,0.27450980392156865,0.9831824062095731
XGBoost_multi_with_coords,random,True,15,3,0.8,0.1,5,300,0.8,824,53,0.1903457786095891,0.8821917137752979,0.40843385449122466,0.049708592699047996,0.3116883116883117,0.22641509433962265,0.9844357976653697
XGBoost_multi_with_coords,random,True,15,4,0.8,0.1,5,300,0.8,816,48,0.127692343969429,0.930419921875,0.5519527549932596,0.03535766778869221,0.5411764705882353,0.4791666666666667,0.9817708333333334
XGBoost_multi_with_coords,random,True,15,5,0.8,0.1,5,300,0.8,816,48,0.13338758198174966,0.9274359809027778,0.5596751483189181,0.037332909681691354,0.4657534246575342,0.3541666666666667,0.9895833333333334
XGBoost_multi_with_coords,random,True,16,1,0.8,0.1,5,300,1.0,824,51,0.1649519740033908,0.8927783273723461,0.46693033102540565,0.04262818466660878,0.43037974683544306,0.3333333333333333,0.9857697283311773
XGBoost_multi_with_coords,random,True,16,2,0.8,0.1,5,300,1.0,824,51,0.19864520809710468,0.8617304619130965,0.3726481588894742,0.04963608665323837,0.3291139240506329,0.2549019607843137,0.9805950840879689
XGBoost_multi_with_coords,random,True,16,3,0.8,0.1,5,300,1.0,824,53,0.18486241416442328,0.8869637569439346,0.4267259372024464,0.04817360082459959,0.3055555555555556,0.20754716981132076,0.9896238651102465
XGBoost_multi_with_coords,random,True,16,4,0.8,0.1,5,300,1.0,816,48,0.12564625827446707,0.9351671006944445,0.5714512961019748,0.03539026426624337,0.5060240963855421,0.4375,0.9817708333333334
XGBoost_multi_with_coords,random,True,16,5,0.8,0.1,5,300,1.0,816,48,0.13858836526735804,0.9153103298611112,0.5434133508878874,0.037331034295688896,0.47368421052631576,0.375,0.9869791666666666
XGBoost_multi_with_coords,random,True,17,1,1.0,0.03,3,100,0.8,824,51,0.16343392968966963,0.8829617228521423,0.4542281113005917,0.045043432874883396,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,17,2,1.0,0.03,3,100,0.8,824,51,0.1800750268443872,0.8372396824188925,0.3082953360901602,0.0491724330229907,0.0,0.0,0.9987063389391979
XGBoost_multi_with_coords,random,True,17,3,1.0,0.03,3,100,0.8,824,53,0.16512296654078876,0.9031275236766757,0.48545211353326717,0.04639457427225808,0.03636363636363636,0.018867924528301886,0.9987029831387808
