model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,random,True,Coeranoscincus reticulatus,3,1,balanced,,sqrt,5,300,103,17,0.32315727144382134,0.9172366621067032,0.7056796422223726,0.10333145390153518,0.6521739130434783,0.8823529411764706,0.8372093023255814
RF_single_with_coords,random,True,Coeranoscincus reticulatus,3,2,balanced,,sqrt,5,300,103,17,0.33354957725744866,0.8980848153214774,0.6693298246632653,0.1117905898373003,0.5833333333333334,0.8235294117647058,0.8023255813953488
RF_single_with_coords,random,True,Coeranoscincus reticulatus,3,3,balanced,,sqrt,5,300,102,16,0.3586655112613336,0.8982558139534884,0.4980904008188727,0.11451938363425256,0.6222222222222222,0.875,0.8255813953488372
RF_single_with_coords,random,True,Coeranoscincus reticulatus,3,4,balanced,,sqrt,5,300,103,17,0.2996088696956198,0.9418604651162791,0.7344614082175231,0.09320080478748098,0.6818181818181818,0.8823529411764706,0.8604651162790697
RF_single_with_coords,random,True,Coeranoscincus reticulatus,3,5,balanced,,sqrt,5,300,102,17,0.3943148749597655,0.8643598615916955,0.5118202138281559,0.1325967868267233,0.47619047619047616,0.5882352941176471,0.8235294117647058
RF_single_with_coords,random,True,Coeranoscincus reticulatus,4,1,balanced,,sqrt,5,500,103,17,0.32638581909304226,0.9158686730506156,0.7026169316394231,0.10429013965853799,0.6521739130434783,0.8823529411764706,0.8372093023255814
RF_single_with_coords,random,True,Coeranoscincus reticulatus,4,2,balanced,,sqrt,5,500,103,17,0.3325287395271138,0.8980848153214774,0.6749288298909312,0.11153711674302466,0.5833333333333334,0.8235294117647058,0.8023255813953488
RF_single_with_coords,random,True,Coeranoscincus reticulatus,4,3,balanced,,sqrt,5,500,102,16,0.3554590411526988,0.9026162790697675,0.5341023055807774,0.11385307524269504,0.6222222222222222,0.875,0.8255813953488372
RF_single_with_coords,random,True,Coeranoscincus reticulatus,4,4,balanced,,sqrt,5,500,103,17,0.3021409108950127,0.9418604651162791,0.7328410349708525,0.09388543538618181,0.6511627906976745,0.8235294117647058,0.8604651162790697
RF_single_with_coords,random,True,Coeranoscincus reticulatus,4,5,balanced,,sqrt,5,500,102,17,0.39431319165355566,0.8643598615916955,0.5161492181571603,0.1326914677949376,0.47619047619047616,0.5882352941176471,0.8235294117647058
RF_single_with_coords,random,True,Coeranoscincus reticulatus,5,1,balanced,20.0,sqrt,1,300,103,17,0.25893513565720394,0.9254445964432285,0.7124087586061726,0.08450071719242115,0.65,0.7647058823529411,0.8837209302325582
RF_single_with_coords,random,True,Coeranoscincus reticulatus,5,2,balanced,20.0,sqrt,1,300,103,17,0.3052879288347133,0.8861149110807113,0.6502573857199094,0.10033513822480727,0.5405405405405406,0.5882352941176471,0.8837209302325582
RF_single_with_coords,random,True,Coeranoscincus reticulatus,5,3,balanced,20.0,sqrt,1,300,102,16,0.3221233856654328,0.9055232558139535,0.536337460508382,0.10459788646248733,0.5909090909090909,0.8125,0.8255813953488372
RF_single_with_coords,random,True,Coeranoscincus reticulatus,5,4,balanced,20.0,sqrt,1,300,103,17,0.24635952078691598,0.9445964432284542,0.7128921144652898,0.07737606016614754,0.6842105263157895,0.7647058823529411,0.9069767441860465
RF_single_with_coords,random,True,Coeranoscincus reticulatus,5,5,balanced,20.0,sqrt,1,300,102,17,0.34660568723430374,0.8782006920415224,0.5644212612747914,0.1201052607476812,0.46153846153846156,0.5294117647058824,0.8470588235294118
RF_single_with_coords,random,True,Coeranoscincus reticulatus,6,1,balanced,20.0,sqrt,1,500,103,17,0.260293984711624,0.9278385772913817,0.7213600704346431,0.08442254272154287,0.6666666666666666,0.7647058823529411,0.8953488372093024
RF_single_with_coords,random,True,Coeranoscincus reticulatus,6,2,balanced,20.0,sqrt,1,500,103,17,0.30152028735664294,0.8905608755129959,0.658458773276148,0.0991746053968732,0.5405405405405406,0.5882352941176471,0.8837209302325582
RF_single_with_coords,random,True,Coeranoscincus reticulatus,6,3,balanced,20.0,sqrt,1,500,102,16,0.31627027386701284,0.9098837209302326,0.5732878489103426,0.10279675619007923,0.6341463414634146,0.8125,0.8604651162790697
RF_single_with_coords,random,True,Coeranoscincus reticulatus,6,4,balanced,20.0,sqrt,1,500,103,17,0.24741373786418083,0.945280437756498,0.7398351770861018,0.07800996634161178,0.6666666666666666,0.7647058823529411,0.8953488372093024
RF_single_with_coords,random,True,Coeranoscincus reticulatus,6,5,balanced,20.0,sqrt,1,500,102,17,0.347658116204782,0.8771626297577855,0.5545039598465956,0.12017743568133056,0.46153846153846156,0.5294117647058824,0.8470588235294118
RF_single_with_coords,random,True,Coeranoscincus reticulatus,7,1,balanced,20.0,sqrt,5,300,103,17,0.32315727144382145,0.9172366621067032,0.7056796422223726,0.10333145390153518,0.6521739130434783,0.8823529411764706,0.8372093023255814
RF_single_with_coords,random,True,Coeranoscincus reticulatus,7,2,balanced,20.0,sqrt,5,300,103,17,0.33354957725744866,0.8980848153214774,0.6693298246632653,0.11179058983730028,0.5833333333333334,0.8235294117647058,0.8023255813953488
RF_single_with_coords,random,True,Coeranoscincus reticulatus,7,3,balanced,20.0,sqrt,5,300,102,16,0.35866551126133356,0.8982558139534884,0.4980904008188727,0.11451938363425257,0.6222222222222222,0.875,0.8255813953488372
RF_single_with_coords,random,True,Coeranoscincus reticulatus,7,4,balanced,20.0,sqrt,5,300,103,17,0.29960886969561973,0.9418604651162791,0.7344614082175231,0.09320080478748098,0.6818181818181818,0.8823529411764706,0.8604651162790697
RF_single_with_coords,random,True,Coeranoscincus reticulatus,7,5,balanced,20.0,sqrt,5,300,102,17,0.3943148749597655,0.8643598615916955,0.5118202138281559,0.1325967868267233,0.47619047619047616,0.5882352941176471,0.8235294117647058
RF_single_with_coords,random,True,Coeranoscincus reticulatus,8,1,balanced,20.0,sqrt,5,500,103,17,0.32638581909304215,0.9158686730506156,0.7026169316394231,0.10429013965853798,0.6521739130434783,0.8823529411764706,0.8372093023255814
RF_single_with_coords,random,True,Coeranoscincus reticulatus,8,2,balanced,20.0,sqrt,5,500,103,17,0.3325287395271139,0.8980848153214774,0.6749288298909312,0.11153711674302466,0.5833333333333334,0.8235294117647058,0.8023255813953488
RF_single_with_coords,random,True,Coeranoscincus reticulatus,8,3,balanced,20.0,sqrt,5,500,102,16,0.3554590411526988,0.9026162790697675,0.5341023055807774,0.11385307524269504,0.6222222222222222,0.875,0.8255813953488372
RF_single_with_coords,random,True,Coeranoscincus reticulatus,8,4,balanced,20.0,sqrt,5,500,103,17,0.3021409108950127,0.9418604651162791,0.7328410349708525,0.09388543538618181,0.6511627906976745,0.8235294117647058,0.8604651162790697
RF_single_with_coords,random,True,Coeranoscincus reticulatus,8,5,balanced,20.0,sqrt,5,500,102,17,0.39431319165355566,0.8643598615916955,0.5161492181571603,0.13269146779493757,0.47619047619047616,0.5882352941176471,0.8235294117647058
RF_single_with_coords,random,True,Egernia mcpheei,1,1,balanced,,sqrt,1,300,103,2,0.12198694347589067,0.7772277227722773,0.06274131274131274,0.03231456310720389,0.0,0.0,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,1,2,balanced,,sqrt,1,300,103,2,0.056492346318020796,0.9900990099009901,0.75,0.014034088457777781,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,1,3,balanced,,sqrt,1,300,103,2,0.3129998294888861,0.2623762376237624,0.019417475728155338,0.03296252858737325,0.0,0.0,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,1,4,balanced,,sqrt,1,300,102,2,0.06107352399075383,0.9924999999999999,0.75,0.013778322440391072,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,1,5,balanced,,sqrt,1,300,102,1,0.1001011102762382,0.8861386138613861,0.07692307692307693,0.031241938998174287,0.0,0.0,0.9603960396039604
RF_single_with_coords,random,True,Egernia mcpheei,2,1,balanced,,sqrt,1,500,103,2,0.12124332695950846,0.7970297029702971,0.06696428571428571,0.032535883495504854,0.0,0.0,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,2,2,balanced,,sqrt,1,500,103,2,0.055905288829321775,0.9900990099009901,0.75,0.013759533980932038,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,2,3,balanced,,sqrt,1,500,103,2,0.31280854073686176,0.2128712871287129,0.019417475728155338,0.03284885436936893,0.0,0.0,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,2,4,balanced,,sqrt,1,500,102,2,0.06128352284982711,0.99,0.75,0.013974745098323537,0.0,0.0,1.0
RF_single_with_coords,random,True,Egernia mcpheei,2,5,balanced,,sqrt,1,500,102,1,0.09889939482921521,0.8910891089108911,0.08333333333333333,0.03111823529442157,0.0,0.0,0.9603960396039604
RF_single_with_coords,random,True,Egernia mcpheei,3,1,balanced,,sqrt,5,300,103,2,0.1931431337735756,0.7425742574257426,0.06492248062015504,0.05425780350295587,0.0,0.0,0.9405940594059405
RF_single_with_coords,random,True,Egernia mcpheei,3,2,balanced,,sqrt,5,300,103,2,0.14018246781191349,0.9752475247524752,0.6428571428571428,0.03379670664408754,0.4,0.5,0.9801980198019802
RF_single_with_coords,random,True,Egernia mcpheei,3,3,balanced,,sqrt,5,300,103,2,0.16909388900071906,0.5297029702970297,0.02988215488215488,0.04396875744150851,0.0,0.0,0.9702970297029703
RF_single_with_coords,random,True,Egernia mcpheei,3,4,balanced,,sqrt,5,300,102,2,0.16264001395289762,0.98,0.45,0.041011736966999834,0.5,1.0,0.96
RF_single_with_coords,random,True,Egernia mcpheei,3,5,balanced,,sqrt,5,300,102,1,0.1915766752637946,0.9504950495049505,0.16666666666666666,0.058362713905578255,0.18181818181818182,1.0,0.9108910891089109
RF_single_with_coords,random,True,Egernia mcpheei,4,1,balanced,,sqrt,5,500,103,2,0.19132530254974,0.7425742574257426,0.06492248062015504,0.05387912071884267,0.0,0.0,0.9405940594059405
RF_single_with_coords,random,True,Egernia mcpheei,4,2,balanced,,sqrt,5,500,103,2,0.13941868769951335,0.9801980198019802,0.6666666666666666,0.03370797817714874,0.5,0.5,0.9900990099009901
RF_single_with_coords,random,True,Egernia mcpheei,4,3,balanced,,sqrt,5,500,103,2,0.17492558681725492,0.44059405940594054,0.02513105149552883,0.044099535542436355,0.0,0.0,0.9702970297029703
