model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_no_coords,spatial,False,3,3,balanced,,sqrt,5,300,816,48,0.291456302380753,0.8393554687499999,0.31644595358390165,0.08645853200917172,0.37267080745341613,0.625,0.8919270833333334
RF_multi_no_coords,spatial,False,3,4,balanced,,sqrt,5,300,816,49,0.27478982267029095,0.9045046962722507,0.43569090276969047,0.07938317675909697,0.40764331210191085,0.6530612244897959,0.9009126466753585
RF_multi_no_coords,spatial,False,3,5,balanced,,sqrt,5,300,824,51,0.2994628695336617,0.8864114856809476,0.3915930046422468,0.0890170187754103,0.43333333333333335,0.7647058823529411,0.8835705045278137
RF_multi_no_coords,spatial,False,4,1,balanced,,sqrt,5,500,824,50,0.29310701312290083,0.9146770025839792,0.46613041097839153,0.08751886003353315,0.4134078212290503,0.74,0.8811369509043928
RF_multi_no_coords,spatial,False,4,2,balanced,,sqrt,5,500,824,52,0.28960352953199187,0.8782881626145875,0.4533341546710132,0.08548097176669342,0.4431137724550898,0.7115384615384616,0.8989637305699482
RF_multi_no_coords,spatial,False,4,3,balanced,,sqrt,5,500,816,48,0.29148698742617224,0.8429904513888888,0.32109102636191483,0.08665127015572482,0.3803680981595092,0.6458333333333334,0.890625
RF_multi_no_coords,spatial,False,4,4,balanced,,sqrt,5,500,816,49,0.27395182332004214,0.9043450496234999,0.43981473845588437,0.07926667690002191,0.4050632911392405,0.6530612244897959,0.8996088657105606
RF_multi_no_coords,spatial,False,4,5,balanced,,sqrt,5,500,824,51,0.2989346594630359,0.8855744108768993,0.3936779923556986,0.08870817684532079,0.4406779661016949,0.7647058823529411,0.88745148771022
RF_multi_no_coords,spatial,False,5,1,balanced,20.0,sqrt,1,300,824,50,0.1816405135928302,0.9141602067183462,0.46869900788341573,0.050631404149835954,0.45714285714285713,0.48,0.9599483204134367
RF_multi_no_coords,spatial,False,5,2,balanced,20.0,sqrt,1,300,824,52,0.20773146303159865,0.865658628935831,0.4229649256314473,0.052520548089235064,0.46846846846846846,0.5,0.9572538860103627
