model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_no_coords,spatial,False,Cacophis kreftii,7,5,balanced,20.0,sqrt,5,300,102,4,0.29990438708272876,0.9107142857142857,0.3053830227743271,0.09608504260756467,0.3157894736842105,0.75,0.8775510204081632
RF_single_no_coords,spatial,False,Cacophis kreftii,8,1,balanced,20.0,sqrt,5,500,103,4,0.17858766545316984,0.7929292929292929,0.1824149731126475,0.04883609641635648,0.25,0.25,0.9696969696969697
RF_single_no_coords,spatial,False,Cacophis kreftii,8,2,balanced,20.0,sqrt,5,500,103,4,0.2650103734068434,0.7878787878787878,0.11410024154589371,0.08452200273812145,0.11764705882352941,0.25,0.8787878787878788
RF_single_no_coords,spatial,False,Cacophis kreftii,8,3,balanced,20.0,sqrt,5,500,102,3,0.23283859722501177,0.9023569023569024,0.19393939393939394,0.07203726201331251,0.15384615384615385,0.3333333333333333,0.9090909090909091
RF_single_no_coords,spatial,False,Cacophis kreftii,8,4,balanced,20.0,sqrt,5,500,103,4,0.2944756088470137,0.7222222222222223,0.0999280016311135,0.09495068458180816,0.125,0.25,0.8888888888888888
RF_single_no_coords,spatial,False,Cacophis kreftii,8,5,balanced,20.0,sqrt,5,500,102,4,0.2978781397816994,0.9081632653061225,0.2621212121212121,0.09537372398128857,0.3157894736842105,0.75,0.8775510204081632
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,1,1,balanced,,sqrt,1,300,103,7,0.31220992333461134,0.7775297619047619,0.34094362616418333,0.06576578425048327,0.3076923076923077,0.2857142857142857,0.9583333333333334
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,1,2,balanced,,sqrt,1,300,103,8,0.1351509102261689,0.9697368421052631,0.7323187229437229,0.0410469255665081,0.42857142857142855,0.375,0.968421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,1,3,balanced,,sqrt,1,300,103,8,0.12357723944638335,0.9723684210526315,0.8014411027568923,0.035473247033606256,0.75,0.75,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,1,4,balanced,,sqrt,1,300,102,7,0.20065508925806236,0.9082706766917293,0.4700902099970423,0.0566532679740621,0.625,0.7142857142857143,0.9578947368421052
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,1,5,balanced,,sqrt,1,300,102,7,0.14149395731461575,0.9654135338345865,0.7418676561533704,0.03896056644897822,0.7142857142857143,0.7142857142857143,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,2,1,balanced,,sqrt,1,500,103,7,0.24081098792672676,0.7894345238095238,0.3398595150623548,0.06692939805840777,0.3076923076923077,0.2857142857142857,0.9583333333333334
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,2,2,balanced,,sqrt,1,500,103,8,0.13691694258113773,0.9697368421052631,0.7314716533466533,0.04162512621371843,0.625,0.625,0.968421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,2,3,balanced,,sqrt,1,500,103,8,0.122014564160588,0.9723684210526315,0.8014411027568922,0.03513976699041748,0.75,0.75,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,2,4,balanced,,sqrt,1,500,102,7,0.20089365857294716,0.9052631578947368,0.4712304583567042,0.056807333333490195,0.625,0.7142857142857143,0.9578947368421052
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,2,5,balanced,,sqrt,1,500,102,7,0.14260726639768556,0.9646616541353383,0.6829931972789116,0.03934419607856863,0.7142857142857143,0.7142857142857143,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,3,1,balanced,,sqrt,5,300,103,7,0.2789540381865911,0.7946428571428571,0.31237824675324677,0.08662324184111776,0.23529411764705882,0.2857142857142857,0.9166666666666666
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,3,2,balanced,,sqrt,5,300,103,8,0.22936942094191917,0.9657894736842105,0.5995535714285715,0.06243426274966423,0.7,0.875,0.9473684210526315
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,3,3,balanced,,sqrt,5,300,103,8,0.20611380837383153,0.9710526315789474,0.7685705532212885,0.05565197027968634,0.6,0.75,0.9368421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,3,4,balanced,,sqrt,5,300,102,7,0.2834853198471372,0.8932330827067669,0.39281591424448564,0.08142704880709811,0.5,0.7142857142857143,0.9157894736842105
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,3,5,balanced,,sqrt,5,300,102,7,0.2295369326763491,0.968421052631579,0.7541125541125542,0.06384956072244546,0.5882352941176471,0.7142857142857143,0.9473684210526315
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,4,1,balanced,,sqrt,5,500,103,7,0.27701242876047366,0.8080357142857142,0.3301113819546999,0.08693613762865603,0.23529411764705882,0.2857142857142857,0.9166666666666666
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,4,2,balanced,,sqrt,5,500,103,8,0.22871282694660097,0.968421052631579,0.6084821428571429,0.06211876642601393,0.7,0.875,0.9473684210526315
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,4,3,balanced,,sqrt,5,500,103,8,0.2048569616597546,0.9723684210526315,0.7722163865546219,0.0552618157633469,0.6,0.75,0.9368421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,4,4,balanced,,sqrt,5,500,102,7,0.28565043443242233,0.8977443609022556,0.3944032158317872,0.08248275818414388,0.47619047619047616,0.7142857142857143,0.9052631578947369
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,4,5,balanced,,sqrt,5,500,102,7,0.22880100236856118,0.9639097744360903,0.7475908149821193,0.06416253654008458,0.5882352941176471,0.7142857142857143,0.9473684210526315
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,5,1,balanced,20.0,sqrt,1,300,103,7,0.31220992333461134,0.7775297619047619,0.34094362616418333,0.06576578425048327,0.3076923076923077,0.2857142857142857,0.9583333333333334
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,5,2,balanced,20.0,sqrt,1,300,103,8,0.1351509102261689,0.9697368421052631,0.7323187229437229,0.0410469255665081,0.42857142857142855,0.375,0.968421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,5,3,balanced,20.0,sqrt,1,300,103,8,0.12357723944638335,0.9723684210526315,0.8014411027568923,0.035473247033606256,0.75,0.75,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,5,4,balanced,20.0,sqrt,1,300,102,7,0.20065508925806236,0.9082706766917293,0.4700902099970423,0.0566532679740621,0.625,0.7142857142857143,0.9578947368421052
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,5,5,balanced,20.0,sqrt,1,300,102,7,0.14149395731461575,0.9654135338345865,0.7418676561533704,0.03896056644897822,0.7142857142857143,0.7142857142857143,0.9789473684210527
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,6,1,balanced,20.0,sqrt,1,500,103,7,0.24081098792672676,0.7894345238095238,0.3398595150623548,0.06692939805840777,0.3076923076923077,0.2857142857142857,0.9583333333333334
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,6,2,balanced,20.0,sqrt,1,500,103,8,0.13691694258113773,0.9697368421052631,0.7314716533466533,0.04162512621371843,0.625,0.625,0.968421052631579
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,6,3,balanced,20.0,sqrt,1,500,103,8,0.122014564160588,0.9723684210526315,0.8014411027568922,0.03513976699041748,0.75,0.75,0.9789473684210527
