model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_no_coords,random,False,6,2,balanced,20.0,sqrt,1,500,824,52,0.1818807644661594,0.8963855121562374,0.3699122423702979,0.05024994767679587,0.38202247191011235,0.3269230769230769,0.9740932642487047
RF_multi_no_coords,random,False,6,3,balanced,20.0,sqrt,1,500,824,50,0.1910409275558663,0.8758527131782946,0.43982735603726564,0.05398590155419957,0.4672897196261682,0.5,0.958656330749354
RF_multi_no_coords,random,False,6,4,balanced,20.0,sqrt,1,500,816,49,0.18501918384874583,0.9102652795146742,0.42048516929956553,0.04896762297405231,0.46153846153846156,0.4897959183673469,0.9595827900912647
RF_multi_no_coords,random,False,6,5,balanced,20.0,sqrt,1,500,816,48,0.17896049563059366,0.8908284505208334,0.4246870888820585,0.051189125428127036,0.49523809523809526,0.5416666666666666,0.9596354166666666
RF_multi_no_coords,random,False,7,1,balanced,20.0,sqrt,5,300,824,52,0.2734317546794048,0.8927112395376644,0.5239012570161513,0.07953615262983763,0.4186046511627907,0.6923076923076923,0.8911917098445595
RF_multi_no_coords,random,False,7,2,balanced,20.0,sqrt,5,300,824,52,0.261713788031558,0.8995864886408927,0.3887068582426873,0.07495905857870712,0.3795620437956204,0.5,0.9235751295336787
RF_multi_no_coords,random,False,7,3,balanced,20.0,sqrt,5,300,824,50,0.30031918059009194,0.8821447028423772,0.48899726301612123,0.09009972341012791,0.41081081081081083,0.76,0.8746770025839793
RF_multi_no_coords,random,False,7,4,balanced,20.0,sqrt,5,300,816,49,0.2782298520844019,0.907830668121225,0.4384004729029363,0.08101618538731503,0.4470588235294118,0.7755102040816326,0.8917861799217731
RF_multi_no_coords,random,False,7,5,balanced,20.0,sqrt,5,300,816,48,0.292287822928408,0.8910047743055556,0.3976770545739144,0.08783705109316488,0.35502958579881655,0.625,0.8815104166666666
RF_multi_no_coords,random,False,8,1,balanced,20.0,sqrt,5,500,824,52,0.27351125147971383,0.8933339976086089,0.5254194285066478,0.07932373830650077,0.43529411764705883,0.7115384615384616,0.8950777202072538
RF_multi_no_coords,random,False,8,2,balanced,20.0,sqrt,5,500,824,52,0.263263507823651,0.898066958947788,0.39004428070641095,0.07542464443524097,0.391304347826087,0.5192307692307693,0.9235751295336787
RF_multi_no_coords,random,False,8,3,balanced,20.0,sqrt,5,500,824,50,0.3003868161163788,0.8834883720930232,0.49227492334057704,0.09012203239115872,0.41304347826086957,0.76,0.875968992248062
RF_multi_no_coords,random,False,8,4,balanced,20.0,sqrt,5,500,816,49,0.2796665851932977,0.906021339435383,0.43088509067283653,0.081416385635335,0.4523809523809524,0.7755102040816326,0.894393741851369
RF_multi_no_coords,random,False,8,5,balanced,20.0,sqrt,5,500,816,48,0.2914208762676346,0.8914388020833333,0.4030792377086689,0.08724269234453877,0.3473053892215569,0.6041666666666666,0.8828125
