model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_with_coords,random,True,6,2,balanced,20.0,sqrt,1,500,824,52,0.1613795757581407,0.9200503188521322,0.47657356995656325,0.04381096512362091,0.40963855421686746,0.3269230769230769,0.9818652849740933
RF_multi_with_coords,random,True,6,3,balanced,20.0,sqrt,1,500,824,50,0.1816135012245336,0.9010077519379845,0.4534445606174312,0.05298890059982235,0.5166666666666667,0.62,0.9496124031007752
RF_multi_with_coords,random,True,6,4,balanced,20.0,sqrt,1,500,816,49,0.16780304136951169,0.9183141313891919,0.46407376101046727,0.04744122025607443,0.5486725663716814,0.6326530612244898,0.9569752281616688
RF_multi_with_coords,random,True,6,5,balanced,20.0,sqrt,1,500,816,48,0.1790154523600959,0.9054768880208333,0.5063968220898848,0.04923232491886699,0.45871559633027525,0.5208333333333334,0.953125
RF_multi_with_coords,random,True,7,1,balanced,20.0,sqrt,5,300,824,52,0.2525798168804119,0.9122907532881626,0.5411307457822765,0.07285339979624442,0.4936708860759494,0.75,0.9132124352331606
RF_multi_with_coords,random,True,7,2,balanced,20.0,sqrt,5,300,824,52,0.23582379194652509,0.9202371462734157,0.47908820809957114,0.06606872979738446,0.46153846153846156,0.6346153846153846,0.9248704663212435
RF_multi_with_coords,random,True,7,3,balanced,20.0,sqrt,5,300,824,50,0.27942732574159584,0.9036692506459949,0.5016607037404236,0.08355323416406263,0.4624277456647399,0.8,0.8927648578811369
RF_multi_with_coords,random,True,7,4,balanced,20.0,sqrt,5,300,816,49,0.25691422719471285,0.92243833648192,0.4859332983876381,0.07295313175785662,0.5194805194805194,0.8163265306122449,0.9152542372881356
RF_multi_with_coords,random,True,7,5,balanced,20.0,sqrt,5,300,816,48,0.2764283099044922,0.9035915798611112,0.4495531986822844,0.08248092652149944,0.42857142857142855,0.75,0.890625
RF_multi_with_coords,random,True,8,1,balanced,20.0,sqrt,5,500,824,52,0.25223140700229285,0.9112694300518135,0.540533020268926,0.0724364231344975,0.5032258064516129,0.75,0.917098445595855
RF_multi_with_coords,random,True,8,2,balanced,20.0,sqrt,5,500,824,52,0.23692265712438884,0.9197389398166601,0.47814715863084434,0.06640247919349967,0.46153846153846156,0.6346153846153846,0.9248704663212435
RF_multi_with_coords,random,True,8,3,balanced,20.0,sqrt,5,500,824,50,0.2795834449381365,0.9044444444444444,0.49708973877373475,0.08341056346117481,0.45714285714285713,0.8,0.8901808785529716
RF_multi_with_coords,random,True,8,4,balanced,20.0,sqrt,5,500,816,49,0.2579730918061282,0.9203097144985765,0.4768130941944764,0.0733224911504381,0.5228758169934641,0.8163265306122449,0.9165580182529335
RF_multi_with_coords,random,True,8,5,balanced,20.0,sqrt,5,500,816,48,0.27659421200497597,0.9005533854166667,0.4390162774626401,0.08228516949999784,0.42857142857142855,0.75,0.890625
