model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_interactions_no_coords,spatial,False,6,3,balanced,20.0,sqrt,1,500,816,48,0.20840062495111997,0.832058376736111,0.3153441824192504,0.05783703846766984,0.3333333333333333,0.3333333333333333,0.9583333333333334
RF_multi_interactions_no_coords,spatial,False,6,4,balanced,20.0,sqrt,1,500,816,49,0.1888505574849002,0.8895511268392624,0.435221231490301,0.05280359259110986,0.449438202247191,0.40816326530612246,0.9739243807040417
RF_multi_interactions_no_coords,spatial,False,6,5,balanced,20.0,sqrt,1,500,824,51,0.20477795690933123,0.8902417370570479,0.43135212855470767,0.05743692349144795,0.4462809917355372,0.5294117647058824,0.944372574385511
RF_multi_interactions_no_coords,spatial,False,7,1,balanced,20.0,sqrt,5,300,824,50,0.29751097169649665,0.9138242894056847,0.4901950995146697,0.09045249890718152,0.41530054644808745,0.76,0.8772609819121447
RF_multi_interactions_no_coords,spatial,False,7,2,balanced,20.0,sqrt,5,300,824,52,0.2919326091983007,0.8834944200876844,0.42607838522201164,0.08860206481428984,0.4342857142857143,0.7307692307692307,0.8898963730569949
RF_multi_interactions_no_coords,spatial,False,7,3,balanced,20.0,sqrt,5,300,816,48,0.29785111497299904,0.8321126302083334,0.30992717049068197,0.09000637423532451,0.3742690058479532,0.6666666666666666,0.8815104166666666
RF_multi_interactions_no_coords,spatial,False,7,4,balanced,20.0,sqrt,5,300,816,49,0.2768263087334923,0.9021099965409892,0.46831896462395983,0.08207150617827078,0.38509316770186336,0.6326530612244898,0.894393741851369
RF_multi_interactions_no_coords,spatial,False,7,5,balanced,20.0,sqrt,5,300,824,51,0.31041616516293596,0.881693427694493,0.3651150818381615,0.09371267006348552,0.42780748663101603,0.7843137254901961,0.8758085381630013
RF_multi_interactions_no_coords,spatial,False,8,1,balanced,20.0,sqrt,5,500,824,50,0.2979522057201552,0.913514211886305,0.4860748022425205,0.09036015196915552,0.42391304347826086,0.78,0.8772609819121447
RF_multi_interactions_no_coords,spatial,False,8,2,balanced,20.0,sqrt,5,500,824,52,0.291119289102018,0.885387604623356,0.42435601602715783,0.08838946743903305,0.43575418994413406,0.75,0.8860103626943006
RF_multi_interactions_no_coords,spatial,False,8,3,balanced,20.0,sqrt,5,500,816,48,0.2971806834738507,0.83544921875,0.3035139893323973,0.09014418996235002,0.3764705882352941,0.6666666666666666,0.8828125
RF_multi_interactions_no_coords,spatial,False,8,4,balanced,20.0,sqrt,5,500,816,49,0.27618167258567833,0.9038661096772476,0.46923819068178424,0.0818424055379327,0.389937106918239,0.6326530612244898,0.8970013037809648
RF_multi_interactions_no_coords,spatial,False,8,5,balanced,20.0,sqrt,5,500,824,51,0.3094982380942423,0.8824036729827766,0.367848033683054,0.09340231895754096,0.43243243243243246,0.7843137254901961,0.8783958602846055
