model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,10,2,0.5,balanced,4,103,13,0.4946585354263502,0.8871794871794871,0.5072065695960819,0.1649502959882141,0.5333333333333333,0.9230769230769231,0.7777777777777778
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,10,3,0.5,balanced,4,103,13,0.383035153328357,0.9376068376068376,0.6302820213355331,0.11468690628443491,0.6666666666666666,0.9230769230769231,0.8777777777777778
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,10,4,0.5,balanced,4,103,13,0.41980217836315237,0.9068376068376067,0.5879767291531999,0.13624398242619545,0.5581395348837209,0.9230769230769231,0.8
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,10,5,0.5,balanced,4,102,13,0.4810643979706542,0.8435609334485739,0.3550310492781158,0.1596175385064645,0.5,0.8461538461538461,0.7752808988764045
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,11,1,0.5,balanced,6,102,12,0.42341843579510635,0.875925925925926,0.41879017790202,0.13498379096328722,0.5365853658536586,0.9166666666666666,0.8
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,11,2,0.5,balanced,6,103,13,0.4487265711654316,0.9085470085470085,0.6257748328955759,0.1471861190482289,0.5238095238095238,0.8461538461538461,0.8
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,11,3,0.5,balanced,6,103,13,0.34098600432567017,0.9273504273504273,0.6487156006386776,0.10011183630884894,0.7096774193548387,0.8461538461538461,0.9222222222222223
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,11,4,0.5,balanced,6,103,13,0.3949586489428981,0.9128205128205128,0.643381247143789,0.12719846439718444,0.55,0.8461538461538461,0.8222222222222222
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,11,5,0.5,balanced,6,102,13,0.45293825186406933,0.8582541054451167,0.42474258052044456,0.14645913278608796,0.5365853658536586,0.8461538461538461,0.8089887640449438
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,12,1,0.5,balanced,8,102,12,0.41686452302872434,0.8888888888888888,0.4629729995530621,0.13233987996432353,0.5365853658536586,0.9166666666666666,0.8
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,12,2,0.5,balanced,8,103,13,0.4354271641897039,0.9102564102564102,0.6550006891576312,0.1419048855689238,0.5238095238095238,0.8461538461538461,0.8
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,12,3,0.5,balanced,8,103,13,0.33648887118566057,0.9119658119658121,0.6429494128473181,0.0993225682811746,0.6666666666666666,0.7692307692307693,0.9222222222222223
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,12,4,0.5,balanced,8,103,13,0.39004065162608237,0.9128205128205128,0.6962484961458968,0.12423334785028421,0.5789473684210527,0.8461538461538461,0.8444444444444444
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,12,5,0.5,balanced,8,102,13,0.44445862554355436,0.8625756266205704,0.44760082481196495,0.14206627516733605,0.5641025641025641,0.8461538461538461,0.8314606741573034
GAM_single_with_coords,spatial,True,Egernia mcpheei,1,1,0.1,,4,103,1,0.05123743107055567,0.9803921568627451,0.3333333333333333,0.009519333410726983,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,1,2,0.1,,4,103,2,0.09440967361403026,0.9603960396039605,0.6,0.019021372776977546,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,1,3,0.1,,4,103,1,0.05128273282626659,0.9901960784313726,0.5,0.009517317639539022,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,1,4,0.1,,4,102,1,0.05170904436653342,1.0,1.0,0.009609360948707575,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,1,5,0.1,,4,102,1,0.05744787094116732,0.17821782178217827,0.011904761904761904,0.009769473625659808,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,2,1,0.1,,6,103,1,0.05091835623585672,0.9705882352941176,0.25,0.009510828436706698,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,2,2,0.1,,6,103,2,0.09408503558674407,0.9405940594059407,0.3269230769230769,0.019013347271649644,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,2,3,0.1,,6,103,1,0.05094590179423499,0.9803921568627451,0.3333333333333333,0.009508616021299503,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,2,4,0.1,,6,102,1,0.05107686953383388,1.0,1.0,0.00958780986715406,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,2,5,0.1,,6,102,1,0.057286542360640735,0.24752475247524752,0.012987012987012988,0.0097680019370018,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,3,1,0.1,,8,103,1,0.05105190141053147,0.9607843137254902,0.2,0.009516050750796137,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,3,2,0.1,,8,103,2,0.093624726108286,0.9405940594059405,0.5714285714285714,0.019000346307204947,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,3,3,0.1,,8,103,1,0.050821600182867584,0.9803921568627451,0.3333333333333333,0.009505080938574618,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,3,4,0.1,,8,102,1,0.05072341468721729,1.0,1.0,0.009574245102893297,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,3,5,0.1,,8,102,1,0.05731279278566353,0.25742574257425743,0.013157894736842105,0.009769902237718866,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,4,1,0.1,balanced,4,103,1,0.36134308723231867,0.9509803921568627,0.16666666666666666,0.10389786329137408,0.16666666666666666,1.0,0.9019607843137255
GAM_single_with_coords,spatial,True,Egernia mcpheei,4,2,0.1,balanced,4,103,2,0.38053036896239895,0.9603960396039605,0.6,0.11330184050161722,0.2857142857142857,1.0,0.900990099009901
GAM_single_with_coords,spatial,True,Egernia mcpheei,4,3,0.1,balanced,4,103,1,0.3910402387752163,1.0,1.0,0.11575675600027771,0.15384615384615385,1.0,0.8921568627450981
GAM_single_with_coords,spatial,True,Egernia mcpheei,4,4,0.1,balanced,4,102,1,0.4250342105067801,1.0,1.0,0.13062903906659779,0.125,1.0,0.8613861386138614
GAM_single_with_coords,spatial,True,Egernia mcpheei,4,5,0.1,balanced,4,102,1,0.3366132420703305,0.16831683168316836,0.011764705882352941,0.10150533965061956,0.0,0.0,0.8811881188118812
GAM_single_with_coords,spatial,True,Egernia mcpheei,5,1,0.1,balanced,6,103,1,0.32017736791567364,0.9509803921568627,0.16666666666666666,0.09036549361790303,0.16666666666666666,1.0,0.9019607843137255
GAM_single_with_coords,spatial,True,Egernia mcpheei,5,2,0.1,balanced,6,103,2,0.32317268276736233,0.9306930693069307,0.31666666666666665,0.09163466786591742,0.2,0.5,0.9306930693069307
