model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_interactions_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.26703743314748546,0.8120401337792642,0.47251568655432086,0.07733281117079097,0.26666666666666666,0.15384615384615385,1.0
GAM_multi_interactions_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.591402270407954,0.7474431818181819,0.46482300927792947,0.21068505325483955,0.047619047619047616,0.025,0.9886363636363636
GAM_multi_interactions_with_coords,spatial,True,Egernia mcpheei,128,6,0.17284743047901727,0.8292349726775957,0.21374767744332962,0.04379389373667827,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,Eulamprus murrayi,128,0,0.012668970008254676,,,0.0002700832702682548,0.0,,1.0
GAM_multi_interactions_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.36011576906648457,0.6274247491638797,0.1494581474303352,0.10913056648071248,0.0,0.0,0.9826086956521739
GAM_multi_interactions_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07535322500205188,0.746031746031746,0.14087301587301587,0.015029856945852186,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,Saltuarius swaini,128,0,0.02349515466589273,,,0.0006371599472530924,0.0,,1.0
GAM_single_with_coords,random,True,Cacophis kreftii,128,4,0.12038042571315594,0.8205645161290323,0.09797237076648842,0.029826397861787472,0.0,0.0,1.0
GAM_single_with_coords,random,True,Calyptotis scutirostrum,128,16,0.24188043681571375,0.9268973214285714,0.6198025543074296,0.07907138470906887,0.36363636363636365,0.25,0.9821428571428571
GAM_single_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3153233906516413,0.8634259259259259,0.5272743899547305,0.09731455582751129,0.4,0.3,0.9629629629629629
GAM_single_with_coords,random,True,Egernia mcpheei,128,3,0.08832537533490864,0.928,0.28444444444444444,0.021557677086806788,0.0,0.0,1.0
GAM_single_with_coords,random,True,Eulamprus murrayi,128,1,0.04758804799250955,0.10236220472440949,0.008695652173913044,0.007769660618175881,0.0,0.0,1.0
GAM_single_with_coords,random,True,Ophioscincus truncatus,128,26,0.40737136434001964,0.7960030165912519,0.5834496455460727,0.12837442859494594,0.20689655172413793,0.11538461538461539,1.0
GAM_single_with_coords,random,True,Pseudechis porphyricaus,128,3,0.12132020001714992,0.4693333333333333,0.029115865347749403,0.023675622086645687,0.0,0.0,1.0
GAM_single_with_coords,random,True,Saltuarius swaini,128,1,0.04588587175244103,0.6692913385826771,0.023255813953488372,0.007766444925953336,0.0,0.0,1.0
GAM_multi_with_coords,random,True,Cacophis kreftii,128,4,0.1088867091273765,0.9314516129032259,0.4452380952380952,0.027178181764817917,0.0,0.0,1.0
GAM_multi_with_coords,random,True,Calyptotis scutirostrum,128,16,0.31955586081157117,0.8404017857142857,0.6296181521050227,0.09800761759020869,0.0,0.0,1.0
GAM_multi_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3929948146140337,0.7134259259259259,0.2604478622690436,0.12508988803700077,0.0,0.0,0.9907407407407407
GAM_multi_with_coords,random,True,Egernia mcpheei,128,3,0.09207161106436101,0.8853333333333333,0.26883468834688345,0.021843055866344982,0.0,0.0,1.0
GAM_multi_with_coords,random,True,Eulamprus murrayi,128,1,0.053619060133758896,0.2834645669291339,0.010869565217391304,0.007922522685053196,0.0,0.0,1.0
GAM_multi_with_coords,random,True,Ophioscincus truncatus,128,26,0.4307296107796891,0.7748868778280543,0.5196582449783304,0.13793033588164083,0.0,0.0,0.9901960784313726
GAM_multi_with_coords,random,True,Pseudechis porphyricaus,128,3,0.12368394187992984,0.44266666666666665,0.028637029524453458,0.023561204549597904,0.0,0.0,1.0
