model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,4,1,0.1,balanced,4,102,12,0.5742576255116635,0.8574074074074074,0.42547453179918465,0.19278042750045743,0.425531914893617,0.8333333333333334,0.7222222222222222
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,4,2,0.1,balanced,4,103,13,0.6343459576278889,0.7957264957264957,0.4312454230097604,0.22169421621139906,0.3448275862068966,0.7692307692307693,0.6111111111111112
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,4,3,0.1,balanced,4,103,13,0.5680953478007671,0.8358974358974359,0.43293459933731426,0.18993538534386872,0.47619047619047616,0.7692307692307693,0.7888888888888889
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,4,4,0.1,balanced,4,103,13,0.5773142718880949,0.8504273504273504,0.48306283041953596,0.19458879141061663,0.40816326530612246,0.7692307692307693,0.7111111111111111
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,4,5,0.1,balanced,4,102,13,0.6125181521874328,0.7165082108902334,0.31733889621889233,0.21168836812140865,0.3018867924528302,0.6153846153846154,0.6404494382022472
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,5,1,0.1,balanced,6,102,12,0.5339970768169977,0.8638888888888889,0.4208675533312557,0.17499750947111334,0.4090909090909091,0.75,0.7444444444444445
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,5,2,0.1,balanced,6,103,13,0.5930110474767201,0.8367521367521368,0.5245969302825491,0.20264514918531848,0.41509433962264153,0.8461538461538461,0.6777777777777778
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,5,3,0.1,balanced,6,103,13,0.5113760988445505,0.8786324786324786,0.5172739399819196,0.16399691404464659,0.5945945945945946,0.8461538461538461,0.8555555555555555
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,5,4,0.1,balanced,6,103,13,0.5369706672287811,0.8675213675213675,0.5174518927198624,0.17676281705236163,0.425531914893617,0.7692307692307693,0.7333333333333333
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,5,5,0.1,balanced,6,102,13,0.58089180133804,0.7761452031114953,0.37328572683929406,0.19682762133486933,0.43137254901960786,0.8461538461538461,0.6966292134831461
