model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_with_coords,spatial,True,7,3,0.5,,4,816,48,0.18635123976184495,0.8102484809027778,0.25252342817573453,0.049677489671987284,0.07547169811320754,0.041666666666666664,0.99609375
GAM_multi_with_coords,spatial,True,7,4,0.5,,4,816,49,0.17326052545989445,0.8675997126360323,0.27200850979701435,0.04899026724327728,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,7,5,0.5,,4,824,51,0.1842476865538362,0.8252796590822616,0.33057985352071423,0.049195656750429334,0.10909090909090909,0.058823529411764705,0.9987063389391979
GAM_multi_with_coords,spatial,True,8,1,0.5,,6,824,50,0.1600693119557404,0.9045736434108526,0.37739695151889835,0.0458836459451084,0.14035087719298245,0.08,0.9961240310077519
GAM_multi_with_coords,spatial,True,8,2,0.5,,6,824,52,0.17028982383868838,0.8773664806695894,0.37100898030246504,0.047274866991331516,0.03571428571428571,0.019230769230769232,0.9961139896373057
GAM_multi_with_coords,spatial,True,8,3,0.5,,6,816,48,0.18474306558608536,0.8151041666666666,0.24998872444869077,0.04939898817354089,0.07407407407407407,0.041666666666666664,0.9947916666666666
GAM_multi_with_coords,spatial,True,8,4,0.5,,6,816,49,0.1730543679562041,0.863608546417263,0.2741238624915954,0.04878041132871805,0.0,0.0,0.9973924380704041
GAM_multi_with_coords,spatial,True,8,5,0.5,,6,824,51,0.18379738104096985,0.8247216092128961,0.35548741203284,0.04876852061812154,0.14285714285714285,0.0784313725490196,0.9987063389391979
GAM_multi_with_coords,spatial,True,9,1,0.5,,8,824,50,0.15971099444136608,0.9054521963824288,0.3648169267982145,0.0458349095939259,0.14035087719298245,0.08,0.9961240310077519
GAM_multi_with_coords,spatial,True,9,2,0.5,,8,824,52,0.16876110322157092,0.8792845755280988,0.3909483678653445,0.04669012081679802,0.10344827586206896,0.057692307692307696,0.9961139896373057
GAM_multi_with_coords,spatial,True,9,3,0.5,,8,816,48,0.18586306530788307,0.8126898871527778,0.24798892530621094,0.04965504879883282,0.07407407407407407,0.041666666666666664,0.9947916666666666
GAM_multi_with_coords,spatial,True,9,4,0.5,,8,816,49,0.17245286847374214,0.8649123273820609,0.28000759986351953,0.04860023261736424,0.0,0.0,0.9986962190352021
GAM_multi_with_coords,spatial,True,9,5,0.5,,8,824,51,0.18445900909478152,0.8250006341475788,0.3444962324650191,0.04894974568250887,0.1724137931034483,0.09803921568627451,0.9974126778783958
GAM_multi_with_coords,spatial,True,10,1,0.5,balanced,4,824,50,0.45873763573614806,0.9003100775193799,0.352014532375642,0.14886594677721607,0.3445692883895131,0.92,0.7790697674418605
GAM_multi_with_coords,spatial,True,10,2,0.5,balanced,4,824,52,0.47363198080391333,0.8726086090075728,0.3517629660996886,0.15477824525494252,0.31316725978647686,0.8461538461538461,0.7603626943005182
GAM_multi_with_coords,spatial,True,10,3,0.5,balanced,4,816,48,0.4584557014476088,0.8131239149305556,0.2214997430834459,0.14624570240963278,0.2978723404255319,0.7291666666666666,0.8020833333333334
GAM_multi_with_coords,spatial,True,10,4,0.5,balanced,4,816,49,0.43925410481793475,0.8673602426629061,0.26573584784668525,0.14127462949603695,0.3107569721115538,0.7959183673469388,0.78748370273794
GAM_multi_with_coords,spatial,True,10,5,0.5,balanced,4,824,51,0.48626970659786056,0.8252035613728026,0.33314463806259464,0.1610211374863401,0.2756183745583039,0.7647058823529411,0.7503234152652005
GAM_multi_with_coords,spatial,True,11,1,0.5,balanced,6,824,50,0.46512215624917214,0.9045219638242894,0.35472273540014576,0.15106355023741724,0.323943661971831,0.92,0.7571059431524548
GAM_multi_with_coords,spatial,True,11,2,0.5,balanced,6,824,52,0.46165294798539813,0.8751245516141889,0.36864283788816615,0.15024207174608156,0.32,0.8461538461538461,0.7681347150259067
GAM_multi_with_coords,spatial,True,11,3,0.5,balanced,6,816,48,0.44707194986549575,0.8147786458333333,0.22998569364980498,0.14205454574237505,0.2943722943722944,0.7083333333333334,0.8059895833333334
GAM_multi_with_coords,spatial,True,11,4,0.5,balanced,6,816,49,0.4285188014887276,0.8600431045951626,0.2752756273763487,0.13728517007574279,0.3206751054852321,0.7755102040816326,0.8044328552803129
GAM_multi_with_coords,spatial,True,11,5,0.5,balanced,6,824,51,0.4723220793980437,0.8251781954696497,0.3466104356874457,0.15538592637903823,0.28679245283018867,0.7450980392156863,0.7723156532988357
GAM_multi_with_coords,spatial,True,12,1,0.5,balanced,8,824,50,0.4605467241233871,0.9036692506459948,0.3515009386927963,0.1490580617701089,0.3333333333333333,0.92,0.7674418604651163
GAM_multi_with_coords,spatial,True,12,2,0.5,balanced,8,824,52,0.45974089629977866,0.8760711438820247,0.3681422467764758,0.14962049458074145,0.3284671532846715,0.8653846153846154,0.7707253886010362
GAM_multi_with_coords,spatial,True,12,3,0.5,balanced,8,816,48,0.43951250882702114,0.8156738281250001,0.24410155075722234,0.13918671309223624,0.2905982905982906,0.7083333333333334,0.8020833333333334
